user_id,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,tweets_in_dataset_bin
85146065,tracywinborn,"Winborn, Tracy",CBN News,Deputy Bureau Chief,F,83,207,82,Sun Oct 25 19:22:37 +0000 2009,False,False,0.0,0.0,0.0,9.0,9.0,Bottom 90%
21326212,jenniferwishon,"Wishon, Jennifer",CBN News,White House Correspondent,F,3593,976,4867,Thu Feb 19 18:45:43 +0000 2009,False,False,144.0,8.0,24.0,32.0,208.0,Bottom 90%
857360184,angelazatopek,"Zatopek, Angela",CBN News,On-Air Reporter & Producer,F,40991,637,1460,Tue Oct 02 02:24:01 +0000 2012,True,False,15.0,1.0,3.0,19.0,38.0,Bottom 90%
20196398,adamatcbs,"Aigner-Treworgy, Adam",CBS News,"Producer, CBS This Morning",M,2243,809,3643,Thu Feb 05 22:28:30 +0000 2009,True,False,0.0,0.0,0.0,0.0,0.0,
307982591,jaxalemany,"Alemany, Jacqueline",CBS News,White House Reporter,F,8716,1827,6784,Mon May 30 16:43:13 +0000 2011,True,False,157.0,55.0,1.0,293.0,506.0,Bottom 90%
42930296,amlingam,"Amling, Alicia",CBS News,Congressional Producer,F,1690,1457,5682,Wed May 27 17:27:36 +0000 2009,True,False,1.0,0.0,1.0,2.0,4.0,Bottom 90%
245484736,alanacbs,"Anyse, Alana",CBS News,Special Events and White House Producer,F,138,242,117,Mon Jan 31 20:13:40 +0000 2011,False,False,4.0,0.0,2.0,1.0,7.0,Bottom 90%
56001656,kylieatwood,"Atwood, Kylie",CBS News,State Department Reporter,F,5162,2051,5818,Sun Jul 12 03:02:58 +0000 2009,True,False,174.0,58.0,0.0,289.0,521.0,Bottom 90%
39012674,muscbs,"Bidar, Musadiq",CBS News,Broadcast Associate,M,274,351,6493,Sun May 10 07:08:40 +0000 2009,False,False,9.0,11.0,6.0,19.0,45.0,Bottom 90%
19792457,lindsey_cbs,"Boerma, Lindsey",CBS News,Producer & Digital Journalist,F,2670,1168,4101,Fri Jan 30 22:24:06 +0000 2009,False,False,0.0,0.0,0.0,0.0,0.0,
50011708,margbrennan,"Brennan, Margaret",CBS News,White House & Foreign Affairs Correspondent,F,50698,3061,45266,Tue Jun 23 15:48:05 +0000 2009,True,False,188.0,86.0,6.0,1453.0,1733.0,Middle 9%
34414631,brightwhitney,"Bright, Whitney",CBS News,"Associate Producer, CBS Newspath",F,73,329,139,Wed Apr 22 21:59:33 +0000 2009,False,False,0.0,0.0,1.0,2.0,3.0,Bottom 90%
227570986,philly_bubaris,"Bubaris, Philomena",CBS News,"Associate Producer, CBS This Morning",F,815,803,5353,Fri Dec 17 05:21:40 +0000 2010,False,False,0.0,0.0,0.0,2.0,2.0,Bottom 90%
97240254,sbharmon,"Bullard Harmon, Susan",CBS News,Producer,F,109,185,5,Wed Dec 16 16:22:21 +0000 2009,False,False,0.0,0.0,0.0,0.0,0.0,
172370243,ccannon_dc,"Cannon, Catherine",CBS News,"Associate Producer, CBS This Morning",F,199,481,234,Thu Jul 29 15:05:02 +0000 2010,False,False,0.0,0.0,0.0,0.0,0.0,
14477880,stevechaggaris,"Chaggaris, Steven",CBS News,Political Director,M,4737,2992,1232,Tue Apr 22 18:01:23 +0000 2008,True,False,2.0,0.0,1.0,6.0,9.0,Bottom 90%
