,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
398088661,MEPFuller,"Fuller, Matt E.",Huffington Post,Congressional Reporter,M,77919,3740,42368,Tue Oct 25 15:20:25 +0000 2011,True,False,679.0,226.0,710.0,488.0,2103.0,66,28
38855868,brennawilliams,"Williams, Brenna",CNN,Video Producer,F,7299,1212,23346,Sat May 09 13:53:36 +0000 2009,True,False,235.0,53.0,225.0,96.0,609.0,65,11
188857501,alexis_levinson,"Levinson, Alexis R.",BuzzFeed,Reporter,F,25375,1859,21249,Thu Sep 09 19:19:59 +0000 2010,True,False,242.0,56.0,82.0,272.0,652.0,63,4
3273220608,KatherineBScott,"Scott, Katherine",Bloomberg Government,Legislative Data Analyst,F,1841,597,10011,Thu Jul 09 20:19:52 +0000 2015,False,False,252.0,164.0,120.0,1253.0,1789.0,63,3
46557945,StevenTDennis,"Dennis, Steven T.",Bloomberg News,Congressional Reporter,M,55762,9043,67526,Fri Jun 12 02:29:03 +0000 2009,True,False,522.0,546.0,1026.0,972.0,3066.0,59,32
43078558,MissBeaE,"Peterson, Beatrice Elizabeth",Politico,Associate Video Producer,F,3746,1386,77342,Thu May 28 09:23:24 +0000 2009,True,False,247.0,254.0,291.0,477.0,1269.0,58,3
16459325,ryanbeckwith,"Beckwith, Ryan Teague",Time Magazine,Politics Editor,M,20947,6944,92203,Thu Sep 25 22:43:36 +0000 2008,True,False,1534.0,521.0,901.0,2231.0,5187.0,56,19
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,55,6
3817401,ericgeller,"Geller, Eric",Politico,Cybersecurity Reporter,M,58173,768,208763,Sun Apr 08 20:27:11 +0000 2007,True,False,871.0,1528.0,9033.0,0.0,11432.0,54,17
27481883,natsfert,"Fertig, Natalie",McClatchy,Video Producer,F,1396,1576,16610,Sun Mar 29 19:08:38 +0000 2009,True,False,285.0,371.0,200.0,292.0,1148.0,54,7
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,52,6
323494714,anyaparampil,"Parampil, Anya",RTTV America,Correspondent,F,7972,1158,12534,Fri Jun 24 22:50:53 +0000 2011,True,False,61.0,112.0,116.0,262.0,551.0,52,2
437838346,VeraMBergen,"Bergengruen, Vera",McClatchy Newspapers,National Correspondent,F,5345,2250,12108,Thu Dec 15 22:06:36 +0000 2011,True,False,325.0,138.0,51.0,213.0,727.0,51,9
437625094,jessicaschulb,"Schulberg, Jessica",Huffington Post,Foreign Affairs Reporter,F,9220,2262,8904,Thu Dec 15 16:57:02 +0000 2011,True,False,48.0,39.0,58.0,310.0,455.0,49,1
70511174,Hadas_Gold,"Gold, Hadas",Politico,Media Reporter,F,45221,1254,32595,Mon Aug 31 21:51:59 +0000 2009,True,False,492.0,175.0,122.0,778.0,1567.0,48,17
82151660,kelsey_snell,"Snell, Kelse",Washington Post,Congress Reporter,F,8108,1181,10804,Tue Oct 13 18:00:27 +0000 2009,True,False,197.0,97.0,185.0,175.0,654.0,47,19
25702314,EricMGarcia,"Garcia, Eric M.",CQ Roll Call,Reporter,M,3094,3879,44783,Sat Mar 21 17:44:40 +0000 2009,False,False,470.0,1723.0,863.0,528.0,3584.0,47,14
14578230,taylorkatebrown,"Brown, Taylor",BBC,Feature Producer,F,757,455,14891,Tue Apr 29 00:57:05 +0000 2008,False,False,89.0,48.0,89.0,259.0,485.0,47,1
65535700,WordsOfSarah,"Parnass, Sarah",Washingtonpost.com,Video Editor,F,4662,4535,30581,Fri Aug 14 02:14:45 +0000 2009,True,False,120.0,86.0,142.0,548.0,896.0,44,5
191469176,sarahnferris,"Ferris, Sarah N.",Politico,Budget & Appropriations Reporter,F,4784,1315,7293,Thu Sep 16 14:48:08 +0000 2010,True,False,163.0,63.0,113.0,67.0,406.0,43,6
