,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
189129306,kristinapet,"Peterson, Kristina",Wall Street Journal / Dow Jones,Congressional Reporter,F,6288,1250,4353,Fri Sep 10 13:20:18 +0000 2010,True,False,88.0,2.0,5.0,210.0,305.0,43,13
21215620,marykbruce,"Bruce, Mary",ABC News,Correspondent,F,12789,834,3583,Wed Feb 18 17:08:27 +0000 2009,True,False,137.0,33.0,0.0,49.0,219.0,42,17
32576041,ToryNewmyer,"Newmyer, Tory",Fortune Magazine,Washington Writer,F,1939,695,887,Fri Apr 17 20:49:12 +0000 2009,True,False,25.0,2.0,7.0,22.0,56.0,42,7
297532865,kwelkernbc,"Welker, Kristen",NBC News,White House Correspondent,F,99234,2679,2970,Thu May 12 17:28:26 +0000 2011,True,False,41.0,5.0,0.0,0.0,46.0,41,18
550762459,sfpathe,"Pathe, Simone F.",CQ Roll Call,Senior Political Reporter,F,2972,2683,5607,Wed Apr 11 06:46:22 +0000 2012,True,False,126.0,29.0,31.0,116.0,302.0,41,12
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,40,19
154985728,katieglueck,"Glueck, Katie",McClatchy Newspapers,Senior Political Correspondent,F,14135,4156,16534,Sat Jun 12 19:55:06 +0000 2010,True,False,116.0,115.0,64.0,254.0,549.0,39,16
16031927,greta,"Van Susteren, Greta",MSNBC,"Anchor, For the Record",F,1186850,2146,116645,Thu Aug 28 20:04:54 +0000 2008,True,False,907.0,3069.0,22.0,794.0,4792.0,37,28
103087786,deirdrewalshcnn,"Walsh, Deirdre",CNN,Senior Congressional Reporter & Producer,F,15069,1793,11995,Fri Jan 08 21:17:01 +0000 2010,True,False,243.0,52.0,3.0,104.0,402.0,37,17
48581849,anitakumar01,"Kumar, Anita",McClatchy Newspapers,White House Correspondent,F,11040,1900,17353,Fri Jun 19 02:33:21 +0000 2009,True,False,494.0,33.0,0.0,71.0,598.0,35,12
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,34,8
116953703,ellengilmer,"Gilmer, Ellen M.",E&E News,Legal Reporter,F,2217,707,7564,Wed Feb 24 02:47:04 +0000 2010,False,False,101.0,40.0,26.0,90.0,257.0,34,6
22077368,lesleyclark,"Clark, Lesley",McClatchy Newspapers,National Correspondent,F,5045,997,20292,Thu Feb 26 23:13:11 +0000 2009,True,False,317.0,84.0,2.0,554.0,957.0,34,5
130945778,mollyesque,"Ball, Molly",The Atlantic,Staff Writer,F,116857,2932,35617,Thu Apr 08 20:30:19 +0000 2010,True,False,108.0,29.0,196.0,102.0,435.0,33,22
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,32,16
42703163,SarahKarlin,"Karlin, Sarah",Politico,"Pharma, Politics, & Policy Reporter",F,6953,2010,13873,Tue May 26 19:50:18 +0000 2009,True,False,178.0,123.0,203.0,433.0,937.0,32,10
14999172,HMNorthey,"Northey, Hannah M.",E&E News,Energy Reporter,F,4732,1677,5734,Tue Jun 03 23:57:16 +0000 2008,False,False,89.0,59.0,70.0,464.0,682.0,32,10
21307076,SusanPage,"Page, Susan",USA Today,Washington Bureau Chief,F,48675,1158,18176,Thu Feb 19 15:24:13 +0000 2009,True,False,97.0,192.0,50.0,135.0,474.0,31,15
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,31,15
50854062,nhheikkinen,"Heikkinen, Niina H.",E&E News,"Reporter, Climatewire",F,1124,1283,861,Fri Jun 26 01:05:31 +0000 2009,False,False,31.0,26.0,16.0,31.0,104.0,31,13
37865281,lindsaywise,"Wise, Lindsay",Kansas City Star,Washington Correspondent,F,3748,5000,17045,Tue May 05 05:22:06 +0000 2009,False,False,306.0,114.0,16.0,1013.0,1449.0,31,9
16261513,KilloughCNN,"Killough, Ashley",CNN,Political Producer,F,20017,1887,11115,Fri Sep 12 19:00:38 +0000 2008,True,False,135.0,31.0,4.0,33.0,203.0,30,15
46447090,karoun,"Demirjian, Karoun",Washington Post,National Security & Foreign Policy Reporter,F,8209,1951,15104,Thu Jun 11 18:04:29 +0000 2009,False,False,107.0,94.0,19.0,389.0,609.0,30,15
188857501,alexis_levinson,"Levinson, Alexis R.",BuzzFeed,Reporter,F,25375,1859,21249,Thu Sep 09 19:19:59 +0000 2010,True,False,242.0,56.0,82.0,272.0,652.0,29,11
26520417,nancook,"Cook, Nancy M.",Politico,Senior Reporter,F,5219,1627,5502,Wed Mar 25 15:36:00 +0000 2009,False,False,55.0,20.0,19.0,167.0,261.0,28,16
37965812,AnnieLinskey,"Linskey, Annie",Boston Globe,Chief National Correspondent,F,13401,1726,13385,Tue May 05 17:00:30 +0000 2009,True,False,222.0,89.0,25.0,224.0,560.0,28,11
142896252,jendlouhyhc,"Dlouhy, Jennifer",Hearst Newspapers,Energy & Environment Reporter,F,17714,2955,9605,Wed May 12 01:33:15 +0000 2010,True,False,67.0,15.0,18.0,0.0,100.0,26,15
474974313,bridgetbhc,"Bowman, Bridget M.",CQ Roll Call,Senior Reporter,F,4188,1362,7432,Thu Jan 26 15:05:55 +0000 2012,False,False,194.0,44.0,23.0,91.0,352.0,26,13
33653195,ericawerner,"Werner, Erica",Associated Press,Congressional Correspondent,F,14049,644,4274,Mon Apr 20 20:36:14 +0000 2009,True,False,319.0,53.0,45.0,45.0,462.0,25,18
116341480,RosieGray,"Gray, Rosie",The Atlantic,Staff Writer,F,96935,2044,62369,Mon Feb 22 03:27:53 +0000 2010,True,False,231.0,161.0,172.0,419.0,983.0,24,17
46817943,brikeilarcnn,"Keilar, Brianna",CNN,Senior Washington Correspondent,F,105276,1009,4968,Sat Jun 13 03:39:35 +0000 2009,True,False,52.0,30.0,6.0,68.0,156.0,24,10
60763047,vgmac,"McGrane, Victoria",Boston Globe,Political Reporter,F,8524,1559,18724,Tue Jul 28 00:50:40 +0000 2009,True,False,160.0,169.0,118.0,526.0,973.0,23,4
437625094,jessicaschulb,"Schulberg, Jessica",Huffington Post,Foreign Affairs Reporter,F,9220,2262,8904,Thu Dec 15 16:57:02 +0000 2011,True,False,48.0,39.0,58.0,310.0,455.0,22,13
314099893,Chemnipot,"Chemnick, Jean M.",E&E News,Reporter,F,1253,371,391,Thu Jun 09 18:21:58 +0000 2011,False,False,6.0,3.0,2.0,13.0,24.0,22,9
57124794,annaedney,"Edney, Anna",Bloomberg News,Health Reporter,F,5323,646,3080,Wed Jul 15 20:19:26 +0000 2009,True,False,95.0,9.0,47.0,172.0,323.0,22,6
70511174,Hadas_Gold,"Gold, Hadas",Politico,Media Reporter,F,45221,1254,32595,Mon Aug 31 21:51:59 +0000 2009,True,False,492.0,175.0,122.0,778.0,1567.0,21,16
