,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
937099921,JimmyHKoo,"Koo, Jimmy H.",Bloomberg BNA,Senior Legal Editor,M,867,1303,3537,Fri Nov 09 15:00:59 +0000 2012,False,False,102.0,31.0,79.0,555.0,767.0,28,3
48144950,JudyWoodruff,"Woodruff, Judy",PBS NewsHour,Journalist / Anchor,F,64294,875,4347,Wed Jun 17 22:35:48 +0000 2009,True,False,144.0,20.0,19.0,9.0,192.0,27,5
103016675,AaronMehta,"Mehta, Aaron",Sightline Media Group,"Senior Pentagon Correspondent, DefenseNews",M,11124,582,42586,Fri Jan 08 15:53:25 +0000 2010,True,False,483.0,579.0,720.0,1042.0,2824.0,27,4
19734832,sarahkliff,"Kliff, Sarah L.",Vox Media,Senior Policy Correspondent,F,100090,1154,18144,Thu Jan 29 21:14:18 +0000 2009,True,False,315.0,92.0,129.0,126.0,662.0,26,17
89820928,mitchellreports,"Mitchell, Andrea",NBC News,Chief News Correspondent,F,1388543,1079,32973,Fri Nov 13 23:28:11 +0000 2009,True,False,500.0,93.0,21.0,809.0,1423.0,26,10
42703163,SarahKarlin,"Karlin, Sarah",Politico,"Pharma, Politics, & Policy Reporter",F,6953,2010,13873,Tue May 26 19:50:18 +0000 2009,True,False,178.0,123.0,203.0,433.0,937.0,26,6
118130765,dylanlscott,"Scott, Dylan L.",Stat News,Washington Correspondent,M,20122,1646,42497,Sat Feb 27 18:03:36 +0000 2010,True,False,885.0,441.0,2040.0,594.0,3960.0,25,10
189129306,kristinapet,"Peterson, Kristina",Wall Street Journal / Dow Jones,Congressional Reporter,F,6288,1250,4353,Fri Sep 10 13:20:18 +0000 2010,True,False,88.0,2.0,5.0,210.0,305.0,25,9
240135871,emilyhholden,"Holden, Emily H.",E&E News,"Reporter, Climatewire",F,5200,2891,5805,Wed Jan 19 06:59:18 +0000 2011,True,False,220.0,61.0,175.0,139.0,595.0,24,9
188857501,alexis_levinson,"Levinson, Alexis R.",BuzzFeed,Reporter,F,25375,1859,21249,Thu Sep 09 19:19:59 +0000 2010,True,False,242.0,56.0,82.0,272.0,652.0,24,8
21215620,marykbruce,"Bruce, Mary",ABC News,Correspondent,F,12789,834,3583,Wed Feb 18 17:08:27 +0000 2009,True,False,137.0,33.0,0.0,49.0,219.0,24,8
550762459,sfpathe,"Pathe, Simone F.",CQ Roll Call,Senior Political Reporter,F,2972,2683,5607,Wed Apr 11 06:46:22 +0000 2012,True,False,126.0,29.0,31.0,116.0,302.0,24,6
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,24,4
104914594,Phil_Mattingly,"Mattingly, Phil",CNN,Congressional Correspondent,M,40119,1565,37122,Thu Jan 14 19:59:21 +0000 2010,True,False,686.0,242.0,165.0,698.0,1791.0,23,12
139738464,mj_lee,"Lee, MJ",CNN,National Political Reporter,F,31940,1061,10338,Mon May 03 14:41:10 +0000 2010,True,False,293.0,179.0,72.0,182.0,726.0,23,11
305649821,BlakeSobczak,"Sobczak, Blake H.",E&E News,Cybersecurity Reporter,M,2078,1070,11194,Thu May 26 15:32:57 +0000 2011,False,False,140.0,43.0,119.0,187.0,489.0,23,2
13524182,daveweigel,"Weigel, David",Washington Post,Political Reporter,M,332344,10285,169908,Fri Feb 15 17:58:23 +0000 2008,True,False,758.0,859.0,244.0,2703.0,4564.0,22,12
16247719,FrancoOrdonez,"Ordonez, Francisco",McClatchy Newspapers,White House Correspondent,M,3567,1777,4610,Thu Sep 11 21:04:33 +0000 2008,True,False,138.0,11.0,2.0,105.0,256.0,22,7
140286364,nielslesniewski,"Lesniewski, Niels P.",CQ Roll Call,Senior Senate Reporter,M,24670,2420,70213,Wed May 05 03:22:19 +0000 2010,False,False,559.0,300.0,94.0,457.0,1410.0,22,6
353866329,mVespa1,"Vespa, Matt",Townhall,Associate Editor,M,7012,3000,75424,Fri Aug 12 19:20:14 +0000 2011,True,False,428.0,292.0,41.0,1683.0,2444.0,22,4
167024520,rachaelmbade,"Bade, Rachel M.",Politico,Congress Reporter,F,30164,1580,6647,Thu Jul 15 15:35:28 +0000 2010,True,False,346.0,227.0,58.0,170.0,801.0,21,13
50854062,nhheikkinen,"Heikkinen, Niina H.",E&E News,"Reporter, Climatewire",F,1124,1283,861,Fri Jun 26 01:05:31 +0000 2009,False,False,31.0,26.0,16.0,31.0,104.0,21,6
19847765,sahilkapur,"Kapur, Sahil",Bloomberg News,National Political Reporter,M,69086,530,51628,Sun Feb 01 05:18:57 +0000 2009,True,False,563.0,195.0,853.0,411.0,2022.0,21,5
160561302,KyleTrygstad,"Trygstad, Kyle",The Hotline,Editor,M,7104,1110,8379,Mon Jun 28 14:30:11 +0000 2010,True,False,34.0,26.0,5.0,30.0,95.0,21,3
17517737,klunney,"Lunney, Kellie",E&E News,Reporter,F,620,363,1008,Thu Nov 20 18:25:41 +0000 2008,False,False,5.0,2.0,3.0,12.0,22.0,20,6
267210696,PeteBehrEENews,"Behr, Peter B.",E&E News,Cyber Threats & Grid Reporter,M,624,175,26,Wed Mar 16 14:28:09 +0000 2011,False,False,3.0,0.0,0.0,0.0,3.0,20,2
24439201,jameshohmann,"Hohmann, James P.",Washington Post,National Political Correspondent,M,38708,3201,31426,Sat Mar 14 22:11:59 +0000 2009,True,False,255.0,95.0,42.0,859.0,1251.0,19,10
59676104,danbalz,"Balz, Daniel",Washington Post,Political Reporter,M,90819,1461,3185,Fri Jul 24 03:20:14 +0000 2009,True,False,32.0,18.0,0.0,48.0,98.0,19,8
292549803,PostRoz,"Helderman, Rosalind",Washington Post,Political Investigations & Enterprise Reporter,F,20966,1241,5187,Tue May 03 20:48:10 +0000 2011,True,False,116.0,1.0,7.0,27.0,151.0,19,8
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,19,8
71294756,wolfblitzer,"Blitzer, Wolf",CNN,"Anchor, CNN's The Situation Room",M,1281914,1134,9531,Thu Sep 03 16:29:04 +0000 2009,True,False,29.0,3.0,0.0,1.0,33.0,18,13
36890646,danmericaCNN,"Merica, Daniel",CNN,Political Producer,M,59283,2051,28914,Fri May 01 05:21:55 +0000 2009,True,False,379.0,189.0,46.0,97.0,711.0,18,10
58869089,margarettalev,"Talev, Margaret",Bloomberg News,Senior White House Reporter,F,19588,4517,4442,Tue Jul 21 18:06:26 +0000 2009,True,False,122.0,30.0,5.0,230.0,387.0,18,8
360080772,FoxReports,"Fox, Lauren",CNN,Congressional Reporter,F,7282,1247,7947,Mon Aug 22 17:13:08 +0000 2011,False,False,282.0,102.0,64.0,60.0,508.0,18,7
21307076,SusanPage,"Page, Susan",USA Today,Washington Bureau Chief,F,48675,1158,18176,Thu Feb 19 15:24:13 +0000 2009,True,False,97.0,192.0,50.0,135.0,474.0,18,5
14999172,HMNorthey,"Northey, Hannah M.",E&E News,Energy Reporter,F,4732,1677,5734,Tue Jun 03 23:57:16 +0000 2008,False,False,89.0,59.0,70.0,464.0,682.0,18,5
22077368,lesleyclark,"Clark, Lesley",McClatchy Newspapers,National Correspondent,F,5045,997,20292,Thu Feb 26 23:13:11 +0000 2009,True,False,317.0,84.0,2.0,554.0,957.0,18,3
112526560,kenvogel,"Vogel, Kenneth P.",Politico,Chief Investigative Reporter,M,53894,1174,26303,Mon Feb 08 20:39:32 +0000 2010,True,False,222.0,66.0,163.0,90.0,541.0,17,13
474974313,bridgetbhc,"Bowman, Bridget M.",CQ Roll Call,Senior Reporter,F,4188,1362,7432,Thu Jan 26 15:05:55 +0000 2012,False,False,194.0,44.0,23.0,91.0,352.0,17,9
15463671,samstein,"Stein, Sam",Huffington Post,Senior Politics Editor,M,313211,1028,49109,Thu Jul 17 03:38:29 +0000 2008,True,False,429.0,172.0,168.0,115.0,884.0,17,6
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,17,6
28181835,jpaceDC,"Pace, Julie",Associated Press,White House Correspondent,F,46017,579,6922,Wed Apr 01 20:05:09 +0000 2009,True,False,101.0,9.0,14.0,86.0,210.0,16,12
23578274,kyledcheney,"Cheney, Kyle",Politico,Congress Reporter,M,20051,717,8049,Tue Mar 10 10:42:36 +0000 2009,True,False,359.0,248.0,128.0,66.0,801.0,16,9
204599219,pw_cunningham,"Cunningham, Paige",Washington Examiner,Senior Health Reporter,F,9255,752,4244,Tue Oct 19 01:52:44 +0000 2010,True,False,166.0,61.0,11.0,0.0,238.0,16,9
168290603,ToluseO,"Olorunnipa, Toluse",Bloomberg News,White House Reporter,M,6645,1055,8438,Sun Jul 18 23:26:05 +0000 2010,True,False,118.0,15.0,16.0,148.0,297.0,16,9
177944746,geofkoss,"Koss, Geof",E&E News,Congressional Reporter,M,972,1046,6771,Fri Aug 13 13:28:15 +0000 2010,False,False,52.0,48.0,3.0,223.0,326.0,16,8
314099893,Chemnipot,"Chemnick, Jean M.",E&E News,Reporter,F,1253,371,391,Thu Jun 09 18:21:58 +0000 2011,False,False,6.0,3.0,2.0,13.0,24.0,16,5
