,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,64,32
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,62,30
191469176,sarahnferris,"Ferris, Sarah N.",Politico,Budget & Appropriations Reporter,F,4784,1315,7293,Thu Sep 16 14:48:08 +0000 2010,True,False,163.0,63.0,113.0,67.0,406.0,62,18
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,62,13
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,62,12
2375574151,KatieBoWill,"Williams, Katherine B.",The Hill,National Security Reporter,F,5338,621,6858,Thu Mar 06 16:00:08 +0000 2014,True,False,297.0,191.0,71.0,188.0,747.0,62,6
137734165,ashleyrgold,"Gold, Ashley",Politico,Technology Reporter,F,4089,1400,21083,Tue Apr 27 15:58:36 +0000 2010,True,False,87.0,89.0,184.0,391.0,751.0,60,19
43078558,MissBeaE,"Peterson, Beatrice Elizabeth",Politico,Associate Video Producer,F,3746,1386,77342,Thu May 28 09:23:24 +0000 2009,True,False,247.0,254.0,291.0,477.0,1269.0,60,5
139738464,mj_lee,"Lee, MJ",CNN,National Political Reporter,F,31940,1061,10338,Mon May 03 14:41:10 +0000 2010,True,False,293.0,179.0,72.0,182.0,726.0,58,26
65535700,WordsOfSarah,"Parnass, Sarah",Washingtonpost.com,Video Editor,F,4662,4535,30581,Fri Aug 14 02:14:45 +0000 2009,True,False,120.0,86.0,142.0,548.0,896.0,57,13
437838346,VeraMBergen,"Bergengruen, Vera",McClatchy Newspapers,National Correspondent,F,5345,2250,12108,Thu Dec 15 22:06:36 +0000 2011,True,False,325.0,138.0,51.0,213.0,727.0,54,12
351893585,ElleBeyoud,"Beyoud, Lydia",Bloomberg BNA,Senior Tech & Telecom Reporter,F,2220,4999,5988,Tue Aug 09 21:36:45 +0000 2011,True,False,133.0,112.0,134.0,160.0,539.0,54,8
323494714,anyaparampil,"Parampil, Anya",RTTV America,Correspondent,F,7972,1158,12534,Fri Jun 24 22:50:53 +0000 2011,True,False,61.0,112.0,116.0,262.0,551.0,54,3
437625094,jessicaschulb,"Schulberg, Jessica",Huffington Post,Foreign Affairs Reporter,F,9220,2262,8904,Thu Dec 15 16:57:02 +0000 2011,True,False,48.0,39.0,58.0,310.0,455.0,53,5
159655293,TalKopan,"Kopan, Tal",CNN,Political Reporter,F,10995,1239,21597,Sat Jun 26 00:20:40 +0000 2010,True,False,289.0,151.0,197.0,105.0,742.0,51,20
16228326,ckmarie,"Foran, Clare M.",The Atlantic,Politics Writer,F,8119,4388,8896,Wed Sep 10 21:06:57 +0000 2008,True,False,214.0,35.0,68.0,149.0,466.0,51,12
76611108,nahaltoosi,"Toosi, Nahal",Politico,Foreign Affairs Correspondent,F,9603,1128,10221,Wed Sep 23 10:32:14 +0000 2009,True,False,161.0,157.0,84.0,254.0,656.0,51,10
3319089207,AmeliaFrappolli,"Frappolli, Amelia",CQ Roll Call,Congressional Reporter,F,1164,849,2688,Thu Jun 11 15:38:44 +0000 2015,False,False,209.0,83.0,99.0,88.0,479.0,51,10
118245138,woodruffbets,"Woodruff, Betsy",Daily Beast,Politics Reporter,F,55976,4655,23685,Sun Feb 28 02:02:40 +0000 2010,True,False,338.0,19.0,162.0,257.0,776.0,50,21
55369810,KateBennett_DC,"Bennett, Kate G.",CNN,White House Reporter,F,20609,992,19672,Thu Jul 09 21:34:30 +0000 2009,True,False,468.0,274.0,98.0,38.0,878.0,50,19
146585071,nora_kelly,"Kelly, Nora E.",The Atlantic,Politics Editor & Writer,F,3730,1584,11501,Fri May 21 20:35:47 +0000 2010,True,False,139.0,134.0,113.0,285.0,671.0,49,15
33653195,ericawerner,"Werner, Erica",Associated Press,Congressional Correspondent,F,14049,644,4274,Mon Apr 20 20:36:14 +0000 2009,True,False,319.0,53.0,45.0,45.0,462.0,48,26
19734832,sarahkliff,"Kliff, Sarah L.",Vox Media,Senior Policy Correspondent,F,100090,1154,18144,Thu Jan 29 21:14:18 +0000 2009,True,False,315.0,92.0,129.0,126.0,662.0,48,17
240135871,emilyhholden,"Holden, Emily H.",E&E News,"Reporter, Climatewire",F,5200,2891,5805,Wed Jan 19 06:59:18 +0000 2011,True,False,220.0,61.0,175.0,139.0,595.0,47,21
52282776,leonardkl,"Leonard, Kimberly L.",U.S. News & World Report,Senior Healthcare Writer,F,7901,5443,19222,Tue Jun 30 03:03:08 +0000 2009,True,False,473.0,66.0,227.0,398.0,1164.0,47,19
17881467,rebeccagberg,"Berg, Rebecca",RealClearPolitics,National Political Reporter,F,48798,1508,29831,Thu Dec 04 22:21:08 +0000 2008,True,False,99.0,118.0,78.0,356.0,651.0,47,14
26632935,HopeSeck,"Hodge Seck, Hope",Military.com,Marine Corps & Navy Reporter,F,4584,2389,15814,Wed Mar 25 23:55:59 +0000 2009,True,False,193.0,112.0,152.0,365.0,822.0,47,14
14578230,taylorkatebrown,"Brown, Taylor",BBC,Feature Producer,F,757,455,14891,Tue Apr 29 00:57:05 +0000 2008,False,False,89.0,48.0,89.0,259.0,485.0,47,1
12354832,kasie,"Hunt, Kasie",NBC News,Correspondent,F,187357,1939,24571,Thu Jan 17 11:28:36 +0000 2008,True,False,162.0,175.0,38.0,287.0,662.0,46,36
269579030,DoreyScheimer,"Scheimer, Dorey",Cox Broadcasting,Washington Producer,F,2639,1197,13591,Mon Mar 21 02:09:25 +0000 2011,True,False,204.0,123.0,106.0,155.0,588.0,45,14
235664740,gbrockell,"Brockell, Gillian",Washingtonpost.com,Video Editor,F,2344,640,11743,Sat Jan 08 19:54:44 +0000 2011,True,False,162.0,171.0,332.0,643.0,1308.0,45,7
151444950,DaviSusan,"Davis, Susan",National Public Radio,Congressional Reporter,F,27297,3344,7325,Thu Jun 03 12:33:41 +0000 2010,True,False,90.0,104.0,165.0,179.0,538.0,44,22
342274679,VMMacchi,"Macchi, Victoria",Voice of America,Reporter,F,1373,2804,5782,Mon Jul 25 19:11:00 +0000 2011,True,False,82.0,19.0,71.0,89.0,261.0,44,2
18482836,kristina_wong,"Wong, Kristina",Breitbart News,Pentagon Correspondent,F,14455,1636,23251,Tue Dec 30 17:44:26 +0000 2008,True,False,391.0,107.0,222.0,622.0,1342.0,42,8
18992437,misswilson,"Wilson, Megan R.",The Hill,Lobbying & Advocacy Reporter,F,2168,1266,8968,Wed Jan 14 20:01:27 +0000 2009,False,False,58.0,88.0,162.0,127.0,435.0,41,10
455585786,KimberlyEAtkins,"Atkins, Kimberly",Boston Herald,Chief Washington Reporter/Columnist,F,2944,2691,6277,Thu Jan 05 08:26:46 +0000 2012,True,False,266.0,194.0,72.0,246.0,778.0,41,3
16018516,jenhab,"Haberkorn, Jennifer A.",Politico,Senior Health Reporter,F,20028,1484,10380,Wed Aug 27 22:14:32 +0000 2008,True,False,208.0,85.0,63.0,296.0,652.0,40,25
366602165,levinecarrie,"Levine, Carrie",Center for Public Integrity,Money in Politics Reporter,F,4425,1188,8983,Fri Sep 02 13:39:16 +0000 2011,True,False,139.0,98.0,108.0,635.0,980.0,38,8
363048803,ARiquier,"Riquier, Andrea",MarketWatch,Housing Reporter,F,1810,721,10506,Sat Aug 27 12:56:46 +0000 2011,True,False,133.0,82.0,107.0,67.0,389.0,38,5
167024520,rachaelmbade,"Bade, Rachel M.",Politico,Congress Reporter,F,30164,1580,6647,Thu Jul 15 15:35:28 +0000 2010,True,False,346.0,227.0,58.0,170.0,801.0,37,26
172979014,rebekahmetzler,"Metzler, Rebekah",CNN,White House Editor,F,3537,296,15758,Sat Jul 31 03:03:39 +0000 2010,True,False,112.0,46.0,76.0,65.0,299.0,37,10
49805751,JuleykaLantigua,"Lantigua-Williams, Juleyka",National Public Radio,"Lead Editor & Producer, Code Switch",F,8150,595,23054,Mon Jun 22 23:20:54 +0000 2009,True,False,113.0,312.0,152.0,816.0,1393.0,37,4
275778448,jonquilynhill,"Hill, Jonquilyn",Time Warner Cable,Host and Reporter,F,1826,1380,18802,Sat Apr 02 00:14:52 +0000 2011,True,False,412.0,63.0,130.0,258.0,863.0,37,3
1025521,Shawna,"Thomas, Shawna",Vice News,DC Bureau Chief,F,21355,7929,33486,Mon Mar 12 16:57:58 +0000 2007,True,False,118.0,56.0,79.0,49.0,302.0,36,18
360080772,FoxReports,"Fox, Lauren",CNN,Congressional Reporter,F,7282,1247,7947,Mon Aug 22 17:13:08 +0000 2011,False,False,282.0,102.0,64.0,60.0,508.0,34,19
30927826,LFFriedman,"Friedman, Lisa F.",E&E News,"Editor, Climatewire",F,15577,1329,19177,Mon Apr 13 18:48:58 +0000 2009,False,False,135.0,35.0,267.0,119.0,556.0,33,28
42703163,SarahKarlin,"Karlin, Sarah",Politico,"Pharma, Politics, & Policy Reporter",F,6953,2010,13873,Tue May 26 19:50:18 +0000 2009,True,False,178.0,123.0,203.0,433.0,937.0,33,13
171565750,rachel_roubein,"Roubein, Rachel",The Hill,"Senior Healthcare Reporter, The Hill Extra",F,986,777,1768,Tue Jul 27 17:05:14 +0000 2010,False,False,124.0,15.0,42.0,44.0,225.0,33,4
37721714,bykowicz,"Bykowicz, Julie",Associated Press,White House Reporter,F,12326,1006,14004,Mon May 04 18:33:35 +0000 2009,True,False,83.0,165.0,55.0,362.0,665.0,32,11
6904552,juliemason,"Mason, Julie",Sirius XM Satellite Radio,Radio Host of Press Poll,F,31276,1715,29214,Tue Jun 19 01:25:55 +0000 2007,True,False,43.0,107.0,852.0,211.0,1213.0,31,15
381664207,caitlinnowens,"Owens, Caitlin N.",Axios,Healthcare Reporter,F,5749,907,4405,Wed Sep 28 18:30:25 +0000 2011,True,False,137.0,61.0,81.0,373.0,652.0,31,13
409743965,PGunigantiAT,"Guniganti, Pallavi",Global Competition Review,Reporter,F,337,171,3976,Fri Nov 11 04:58:27 +0000 2011,False,False,50.0,35.0,86.0,19.0,190.0,31,1
243337600,Emma_Dumain,"Dumain, Emma",Charleston Post and Courier,D.C. Correspondent,F,9415,1353,13334,Wed Jan 26 20:48:06 +0000 2011,False,False,383.0,224.0,66.0,411.0,1084.0,30,19
239857777,Indira_L,"Lakashmanan, Indira",Boston Globe,Washington Columnist,F,19203,4163,37406,Tue Jan 18 15:57:48 +0000 2011,True,False,142.0,258.0,173.0,944.0,1517.0,30,7
426396509,LA_Hagen,"Hagen, Lisa",The Hill,Political Reporter,F,1024,1320,1841,Fri Dec 02 05:48:42 +0000 2011,False,False,88.0,9.0,34.0,26.0,157.0,30,1
154985728,katieglueck,"Glueck, Katie",McClatchy Newspapers,Senior Political Correspondent,F,14135,4156,16534,Sat Jun 12 19:55:06 +0000 2010,True,False,116.0,115.0,64.0,254.0,549.0,29,21
15483390,tamarakeithNPR,"Keith, Tamara",National Public Radio,White House Correspondent,F,85683,1569,17433,Fri Jul 18 17:08:25 +0000 2008,True,False,148.0,149.0,315.0,531.0,1143.0,29,14
263473924,ElizLanders,"Landers, Elizabeth",CNN,White House Producer,F,16020,1266,18108,Thu Mar 10 03:15:18 +0000 2011,True,False,355.0,96.0,56.0,89.0,596.0,29,8
550762459,sfpathe,"Pathe, Simone F.",CQ Roll Call,Senior Political Reporter,F,2972,2683,5607,Wed Apr 11 06:46:22 +0000 2012,True,False,126.0,29.0,31.0,116.0,302.0,29,6
4607,nancyscola,"Scola, Nancy",Politico,Tech & Politics Reporter,F,10069,1572,16387,Tue Aug 22 21:19:43 +0000 2006,True,False,133.0,68.0,47.0,178.0,426.0,29,5
240879503,BBCRajiniV,"Vaidyanathan, Rajini",BBC,Anchor & Correspondent,F,14146,3961,13197,Thu Jan 20 23:32:42 +0000 2011,True,False,388.0,149.0,92.0,174.0,803.0,29,4
61267358,TracyJan,"Jan, Tracy",Washington Post,Race & Economy Reporter,F,5423,2263,7458,Wed Jul 29 18:56:31 +0000 2009,True,False,216.0,58.0,55.0,96.0,425.0,29,2
14540264,amyfiscus,"Fiscus, Amy",Los Angeles Times,White House Editor,F,7096,488,13571,Sat Apr 26 05:37:34 +0000 2008,True,False,106.0,41.0,102.0,97.0,346.0,28,10
60763047,vgmac,"McGrane, Victoria",Boston Globe,Political Reporter,F,8524,1559,18724,Tue Jul 28 00:50:40 +0000 2009,True,False,160.0,169.0,118.0,526.0,973.0,27,16
55896443,lbarronlopez,"Barron-Lopez, Laura",Huffington Post,Congress Reporter,F,6739,2301,12572,Sat Jul 11 18:40:26 +0000 2009,True,False,66.0,42.0,56.0,103.0,267.0,27,10
15567780,JenJudson,"Judson, Jennifer",Defense News,Reporter,F,5505,2115,9973,Wed Jul 23 17:30:04 +0000 2008,True,False,375.0,66.0,92.0,172.0,705.0,27,10
93876666,JessicaTaylor,"Taylor, Jessica",National Public Radio,Political Reporter,F,25941,4498,36547,Tue Dec 01 15:09:09 +0000 2009,True,False,236.0,209.0,98.0,331.0,874.0,27,8
27756540,jordainc,"Carney, Jordain R.",The Hill,Senate Reporter,F,1931,1050,7719,Mon Mar 30 23:11:55 +0000 2009,False,False,237.0,68.0,36.0,48.0,389.0,27,7
33919343,AshleyRParker,"Parker, Ashley",Washington Post,White House Reporter,F,122382,2342,12433,Tue Apr 21 14:28:57 +0000 2009,True,False,172.0,67.0,11.0,120.0,370.0,26,18
299877078,johnson_carrie,"Johnson, Carrie",National Public Radio,Correspondent,F,19721,1724,16162,Mon May 16 20:38:23 +0000 2011,True,False,133.0,170.0,45.0,282.0,630.0,26,14
105939814,vtg2,"Guida, Victoria T.",Politico,Economic Policy Reporter,F,1881,676,6059,Mon Jan 18 00:41:51 +0000 2010,True,False,86.0,26.0,99.0,143.0,354.0,26,6
