,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
104914594,Phil_Mattingly,"Mattingly, Phil",CNN,Congressional Correspondent,M,40119,1565,37122,Thu Jan 14 19:59:21 +0000 2010,True,False,686.0,242.0,165.0,698.0,1791.0,48,23
103016675,AaronMehta,"Mehta, Aaron",Sightline Media Group,"Senior Pentagon Correspondent, DefenseNews",M,11124,582,42586,Fri Jan 08 15:53:25 +0000 2010,True,False,483.0,579.0,720.0,1042.0,2824.0,47,8
120233868,MarkLandler,"Landler, Mark",New York Times,White House Correspondent,M,21006,585,1974,Fri Mar 05 21:47:32 +0000 2010,True,False,39.0,1.0,0.0,1.0,41.0,46,11
61734492,Fahrenthold,"Fahrenthold, David",Washington Post,Political Reporter,M,451778,3457,27573,Fri Jul 31 09:29:37 +0000 2009,True,False,141.0,184.0,41.0,2505.0,2871.0,43,32
140286364,nielslesniewski,"Lesniewski, Niels P.",CQ Roll Call,Senior Senate Reporter,M,24670,2420,70213,Wed May 05 03:22:19 +0000 2010,False,False,559.0,300.0,94.0,457.0,1410.0,43,21
15463671,samstein,"Stein, Sam",Huffington Post,Senior Politics Editor,M,313211,1028,49109,Thu Jul 17 03:38:29 +0000 2008,True,False,429.0,172.0,168.0,115.0,884.0,43,20
117082566,TheBrodyFile,"Brody, David",CBN News,White House Correspondent,M,11356,1140,13579,Wed Feb 24 13:43:43 +0000 2010,False,False,299.0,43.0,21.0,178.0,541.0,43,6
21534951,adamgoldmanNYT,"Goldman, Adam",New York Times,FBI & National Security Reporter,M,71083,347,21333,Sun Feb 22 01:33:40 +0000 2009,True,False,384.0,73.0,130.0,186.0,773.0,42,24
50325797,chucktodd,"Todd, Chuck",NBC News,"Political Director / Moderator, Meet the Press",M,1781247,1769,47083,Wed Jun 24 14:53:20 +0000 2009,True,False,78.0,90.0,42.0,312.0,522.0,40,31
346197350,justinsink,"Sink, Justin",Bloomberg News,White House Correspondent,M,13368,1213,14074,Sun Jul 31 21:58:33 +0000 2011,True,False,228.0,87.0,77.0,117.0,509.0,40,16
23578274,kyledcheney,"Cheney, Kyle",Politico,Congress Reporter,M,20051,717,8049,Tue Mar 10 10:42:36 +0000 2009,True,False,359.0,248.0,128.0,66.0,801.0,39,23
92544900,evanperez,"Perez, Evan",CNN,Justice Correspondent,M,18283,1970,21012,Wed Nov 25 15:26:44 +0000 2009,True,False,51.0,75.0,12.0,362.0,500.0,39,21
17436250,nytmike,"Schmidt, Michael",New York Times,Reporter,M,64895,1427,2602,Mon Nov 17 06:25:03 +0000 2008,True,False,15.0,10.0,1.0,16.0,42.0,39,13
342226913,GregStohr,"Stohr, Greg",Bloomberg News,Supreme Court Reporter,M,7245,309,2315,Mon Jul 25 17:40:01 +0000 2011,True,False,91.0,37.0,63.0,19.0,210.0,38,7
