,followers_count,followers_count,followers_count,following_count,following_count,following_count,tweet_count,tweet_count,tweet_count,tweets_in_dataset,tweets_in_dataset,tweets_in_dataset
,sum,size,average,sum,size,average,sum,size,average,sum,size,average
Christian Science Monitor,17328,8,2166.0,9494,8,1186.75,34714,8,4339.25,351.0,8.0,43.875
Chronicle of Higher Education,18838,6,3139.6666666666665,3695,6,615.8333333333334,17115,6,2852.5,400.0,6.0,66.66666666666667
Chronicle of Philanthropy,2757,1,2757.0,1135,1,1135.0,10332,1,10332.0,314.0,1.0,314.0
Circa,1041,2,520.5,2057,2,1028.5,5112,2,2556.0,316.0,2.0,158.0
CityLab,2028,1,2028.0,1474,1,1474.0,20393,1,20393.0,193.0,1.0,193.0
Cleveland Plain Dealer,4060,2,2030.0,944,2,472.0,8644,2,4322.0,311.0,2.0,155.5
Colorado Public Radio,3385,1,3385.0,513,1,513.0,3849,1,3849.0,59.0,1.0,59.0
Columbus Dispatch,3633,2,1816.5,3680,2,1840.0,8093,2,4046.5,332.0,2.0,166.0
Communications Daily,2020,2,1010.0,587,2,293.5,15682,2,7841.0,378.0,2.0,189.0
Consumer Reports,1331,1,1331.0,1932,1,1932.0,2638,1,2638.0,86.0,1.0,86.0
Cook Political Report,91978,3,30659.333333333332,1694,3,564.6666666666666,12053,3,4017.6666666666665,249.0,3.0,83.0
Corporate Crime Reporter,1709,1,1709.0,996,1,996.0,4777,1,4777.0,198.0,1.0,198.0
Cosmopolitan,3018,1,3018.0,1386,1,1386.0,7548,1,7548.0,274.0,1.0,274.0
Court House News,554,2,277.0,1256,2,628.0,5093,2,2546.5,275.0,2.0,137.5
Cox Broadcasting,153729,7,21961.285714285714,5370,7,767.1428571428571,118179,7,16882.714285714286,3296.0,7.0,470.85714285714283
Crain Communications,15590,5,3118.0,2613,5,522.6,18471,5,3694.2,653.0,5.0,130.6
Cronkite News Service,410,1,410.0,186,1,186.0,861,1,861.0,23.0,1.0,23.0
Crux: Catholic News Agency,1869,1,1869.0,523,1,523.0,7399,1,7399.0,170.0,1.0,170.0
C–SPAN,50378,37,1361.5675675675675,37514,37,1013.8918918918919,224839,37,6076.72972972973,8555.0,37.0,231.21621621621622
DC Spotlight Newspaper,539,1,539.0,1332,1,1332.0,519,1,519.0,5.0,1.0,5.0
DCist,1882,1,1882.0,1222,1,1222.0,11093,1,11093.0,658.0,1.0,658.0
Daily Beast,127572,4,31893.0,8820,4,2205.0,70460,4,17615.0,1422.0,4.0,355.5
Daily Caller,53514,3,17838.0,4869,3,1623.0,59037,3,19679.0,1261.0,3.0,420.3333333333333
Daily Deal,2874,2,1437.0,2049,2,1024.5,4558,2,2279.0,359.0,2.0,179.5
Daily Mail,15683,2,7841.5,3306,2,1653.0,12264,2,6132.0,458.0,2.0,229.0
Daily Mail (UK),35384,1,35384.0,691,1,691.0,5331,1,5331.0,920.0,1.0,920.0
Dallas Morning News,5562,3,1854.0,2228,3,742.6666666666666,8004,3,2668.0,412.0,3.0,137.33333333333334
Defense Daily,974,1,974.0,1499,1,1499.0,1051,1,1051.0,0.0,1.0,0.0
Defense News,9303,2,4651.5,2746,2,1373.0,18913,2,9456.5,1481.0,2.0,740.5
Defense One,65540,4,16385.0,11382,4,2845.5,88474,4,22118.5,2391.0,4.0,597.75
Denver Post,1103,1,1103.0,297,1,297.0,1760,1,1760.0,194.0,1.0,194.0
Detroit News,5956,2,2978.0,4398,2,2199.0,20008,2,10004.0,161.0,2.0,80.5
Diverse: Issues in Higher Education,222,1,222.0,12,1,12.0,67,1,67.0,0.0,1.0,0.0
E! Networks,261,1,261.0,273,1,273.0,708,1,708.0,0.0,1.0,0.0
E&E News,78060,38,2054.2105263157896,39680,38,1044.2105263157894,188147,38,4951.236842105263,6510.0,38.0,171.31578947368422
EWTN,5878,5,1175.6,3849,5,769.8,11777,5,2355.4,527.0,5.0,105.4
Eater,2687,1,2687.0,648,1,648.0,12632,1,12632.0,76.0,1.0,76.0
Economist,16976,2,8488.0,1413,2,706.5,13958,2,6979.0,863.0,2.0,431.5
Education Week,75298,15,5019.866666666667,17605,15,1173.6666666666667,71619,15,4774.6,1541.0,15.0,102.73333333333333
Energy Daily,153,1,153.0,658,1,658.0,117,1,117.0,11.0,1.0,11.0
Energy Intelligence,498,2,249.0,1126,2,563.0,1296,2,648.0,57.0,2.0,28.5
"Environment & Energy Publishing, LLC",2826,1,2826.0,895,1,895.0,2505,1,2505.0,26.0,1.0,26.0
FERN's Ag Insider,2153,1,2153.0,306,1,306.0,4342,1,4342.0,232.0,1.0,232.0
FTC Watch,86,1,86.0,102,1,102.0,1436,1,1436.0,0.0,1.0,0.0
Fairchild Publications,36,1,36.0,70,1,70.0,6,1,6.0,0.0,1.0,0.0
Falls Church News Press,14261,2,7130.5,768,2,384.0,3034,2,1517.0,142.0,2.0,71.0
Famous DC,2037,1,2037.0,1012,1,1012.0,1394,1,1394.0,56.0,1.0,56.0
Feature Story News,20886,11,1898.7272727272727,15639,11,1421.7272727272727,99997,11,9090.636363636364,4794.0,11.0,435.8181818181818
FedNet,29,1,29.0,104,1,104.0,47,1,47.0,26.0,1.0,26.0
Federal Computer Week,4603,2,2301.5,2462,2,1231.0,13220,2,6610.0,485.0,2.0,242.5
Federal News Radio 1500 AM,11516,10,1151.6,1981,10,198.1,27277,10,2727.7,649.0,10.0,64.9
Financial Times,65221,5,13044.2,16990,5,3398.0,106882,5,21376.4,5109.0,5.0,1021.8
Financial Times ,3707,1,3707.0,3572,1,3572.0,52502,1,52502.0,1115.0,1.0,1115.0
Fiscal Times,446,1,446.0,53,1,53.0,495,1,495.0,1.0,1.0,1.0
FiveThirtyEight,13190,1,13190.0,453,1,453.0,3902,1,3902.0,171.0,1.0,171.0
Foreign Policy,46598,6,7766.333333333333,14051,6,2341.8333333333335,54223,6,9037.166666666666,1749.0,6.0,291.5
Fortune Magazine,1888,1,1888.0,675,1,675.0,846,1,846.0,20.0,1.0,20.0
Fox Business Network,7505,5,1501.0,3085,5,617.0,11608,5,2321.6,94.0,5.0,18.8
Fox News,3613288,66,54746.78787878788,157149,66,2381.0454545454545,471298,66,7140.878787878788,14928.0,66.0,226.1818181818182
Fox News Radio,9426,4,2356.5,6949,4,1737.25,30076,4,7519.0,159.0,4.0,39.75
France24,10750,2,5375.0,3528,2,1764.0,12376,2,6188.0,612.0,2.0,306.0
Freelance,75954,6,12659.0,12756,6,2126.0,68708,6,11451.333333333334,1343.0,6.0,223.83333333333334
Freelance ,19687,4,4921.75,3846,4,961.5,31261,4,7815.25,226.0,4.0,56.5
Frontline Medical Communications,434,2,217.0,277,2,138.5,1777,2,888.5,16.0,2.0,8.0
Fusion,6742,2,3371.0,1102,2,551.0,5768,2,2884.0,40.0,2.0,20.0
Gannett Government Media Corp,1201,1,1201.0,1100,1,1100.0,1258,1,1258.0,19.0,1.0,19.0
Gannett Washington Bureau,11308,6,1884.6666666666667,4013,6,668.8333333333334,22469,6,3744.8333333333335,1383.0,6.0,230.5
Glamour Magazine,350,1,350.0,149,1,149.0,103,1,103.0,0.0,1.0,0.0
Global Competition Review,327,1,327.0,179,1,179.0,3812,1,3812.0,54.0,1.0,54.0
Globe and Mail,532,1,532.0,7,1,7.0,278,1,278.0,0.0,1.0,0.0
Governing,4308,2,2154.0,2542,2,1271.0,10821,2,5410.5,267.0,2.0,133.5
Government Executive,20148,9,2238.6666666666665,10228,9,1136.4444444444443,44768,9,4974.222222222223,801.0,9.0,89.0
Gray Television,5769,4,1442.25,3889,4,972.25,20309,4,5077.25,359.0,4.0,89.75
Guardian US,131761,4,32940.25,6111,4,1527.75,85280,4,21320.0,1310.0,4.0,327.5
Haddad Media,4959,1,4959.0,751,1,751.0,1331,1,1331.0,91.0,1.0,91.0
Hearst Newspapers,21100,3,7033.333333333333,5326,3,1775.3333333333333,14660,3,4886.666666666667,208.0,3.0,69.33333333333333
Hearst Television Inc.,7157,9,795.2222222222222,9222,9,1024.6666666666667,14595,9,1621.6666666666667,507.0,9.0,56.333333333333336
Hispanic Outlook,159,1,159.0,349,1,349.0,1776,1,1776.0,53.0,1.0,53.0
Honolulu Civil Beat,68,1,68.0,46,1,46.0,15,1,15.0,0.0,1.0,0.0
Houston Chronicle,2270,1,2270.0,308,1,308.0,3166,1,3166.0,165.0,1.0,165.0
Huffington Post,808888,23,35169.04347826087,45631,23,1983.9565217391305,547494,23,23804.08695652174,16183.0,23.0,703.6086956521739
IDG Communications,9103,1,9103.0,1342,1,1342.0,3162,1,3162.0,14.0,1.0,14.0
IDG News Service,2558,1,2558.0,519,1,519.0,1708,1,1708.0,48.0,1.0,48.0
Independent Journal Review,27483,1,27483.0,2173,1,2173.0,10775,1,10775.0,151.0,1.0,151.0
Independent Television News (ITN),18374,7,2624.8571428571427,7739,7,1105.5714285714287,14385,7,2055.0,767.0,7.0,109.57142857142857
Industry Dive,1299,1,1299.0,650,1,650.0,873,1,873.0,38.0,1.0,38.0
"Informavore Media, LLC",729,1,729.0,702,1,702.0,2308,1,2308.0,114.0,1.0,114.0
Inside Elections,11552,1,11552.0,852,1,852.0,3496,1,3496.0,48.0,1.0,48.0
InsideClimate News,1379,1,1379.0,1300,1,1300.0,1230,1,1230.0,111.0,1.0,111.0
InsidePolitics,41597,2,20798.5,797,2,398.5,24746,2,12373.0,1346.0,2.0,673.0
Internews Network,595,1,595.0,394,1,394.0,817,1,817.0,3.0,1.0,3.0
Investor’s Business Daily,1662,1,1662.0,598,1,598.0,4131,1,4131.0,177.0,1.0,177.0
Irish Times,19515,1,19515.0,1845,1,1845.0,15636,1,15636.0,549.0,1.0,549.0
Jewish Journal,587,1,587.0,916,1,916.0,1757,1,1757.0,70.0,1.0,70.0
Jewish Telegraphic Agency,6901,1,6901.0,1952,1,1952.0,50954,1,50954.0,3084.0,1.0,3084.0
Journal Media Group,1820,1,1820.0,2088,1,2088.0,3140,1,3140.0,160.0,1.0,160.0
KATU News,1935,1,1935.0,1366,1,1366.0,7806,1,7806.0,166.0,1.0,166.0
KCETLink,139,1,139.0,60,1,60.0,137,1,137.0,2.0,1.0,2.0
KFI,1693,1,1693.0,268,1,268.0,2165,1,2165.0,37.0,1.0,37.0
KNTV,1528,1,1528.0,403,1,403.0,3440,1,3440.0,144.0,1.0,144.0
KTWO TV,1075,1,1075.0,838,1,838.0,2301,1,2301.0,3.0,1.0,3.0
Kaiser Health News,48770,8,6096.25,8847,8,1105.875,43986,8,5498.25,1665.0,8.0,208.125
Kansas City Star,20431,3,6810.333333333333,6998,3,2332.6666666666665,30129,3,10043.0,1348.0,3.0,449.3333333333333
LRP Publications,41,1,41.0,106,1,106.0,34,1,34.0,1.0,1.0,1.0
Laslo Congressional Bureau,10888,1,10888.0,2935,1,2935.0,22882,1,22882.0,813.0,1.0,813.0
Lilly Broadcasting,2390,1,2390.0,2407,1,2407.0,5133,1,5133.0,200.0,1.0,200.0
LocalNews Now,373,1,373.0,130,1,130.0,699,1,699.0,28.0,1.0,28.0
