,followers_count,followers_count,followers_count,following_count,following_count,following_count,tweet_count,tweet_count,tweet_count,tweets_in_dataset,tweets_in_dataset,tweets_in_dataset
,sum,size,average,sum,size,average,sum,size,average,sum,size,average
Stat News,11391,1,11391.0,1623,1,1623.0,39145,1,39145.0,1755.0,1.0,1755.0
Stateline.org,5073,9,563.6666666666666,5118,9,568.6666666666666,15311,9,1701.2222222222222,420.0,9.0,46.666666666666664
Stephens Media Group,511,1,511.0,277,1,277.0,4146,1,4146.0,106.0,1.0,106.0
SurveyMonkey,18562,1,18562.0,691,1,691.0,10262,1,10262.0,134.0,1.0,134.0
Syracuse Post-Standard,1630,1,1630.0,1095,1,1095.0,2589,1,2589.0,71.0,1.0,71.0
TEGNA,535,1,535.0,237,1,237.0,986,1,986.0,0.0,1.0,0.0
Talk Radio News Service,19208,7,2744.0,7414,7,1059.142857142857,19207,7,2743.8571428571427,275.0,7.0,39.285714285714285
Talking Points Memo,16114,4,4028.5,3327,4,831.75,35108,4,8777.0,293.0,4.0,73.25
Tampa Bay Times,17927,4,4481.75,4117,4,1029.25,35204,4,8801.0,723.0,4.0,180.75
Telemundo Network,12503,3,4167.666666666667,2060,3,686.6666666666666,7112,3,2370.6666666666665,193.0,3.0,64.33333333333333
Texas Tribune,6659,1,6659.0,3935,1,3935.0,46299,1,46299.0,714.0,1.0,714.0
The 74 Media,1257,1,1257.0,724,1,724.0,3066,1,3066.0,113.0,1.0,113.0
The Atlantic,452097,16,28256.0625,30848,16,1928.0,443351,16,27709.4375,7190.0,16.0,449.375
The Cipher Brief,1853,1,1853.0,41,1,41.0,154,1,154.0,17.0,1.0,17.0
The Hill,180080,37,4867.027027027027,51494,37,1391.7297297297298,312476,37,8445.297297297297,10757.0,37.0,290.72972972972974
The Hotline,11503,4,2875.75,6439,4,1609.75,37320,4,9330.0,705.0,4.0,176.25
The New York Times On The Web,5107,1,5107.0,838,1,838.0,5872,1,5872.0,1259.0,1.0,1259.0
The Root,1266,1,1266.0,752,1,752.0,1675,1,1675.0,1.0,1.0,1.0
The Voyage Report,3562,1,3562.0,85,1,85.0,27449,1,27449.0,971.0,1.0,971.0
The atlantic,2925,1,2925.0,1306,1,1306.0,12532,1,12532.0,166.0,1.0,166.0
TheStreet,768,1,768.0,348,1,348.0,1027,1,1027.0,8.0,1.0,8.0
ThinkProgress,1205,2,602.5,463,2,231.5,3471,2,1735.5,261.0,2.0,130.5
This Is America with Dennis Wholey,683,1,683.0,2188,1,2188.0,790,1,790.0,32.0,1.0,32.0
Thom Hartmann Program,206,1,206.0,377,1,377.0,1036,1,1036.0,8.0,1.0,8.0
Thomsen Reuters,2066,1,2066.0,1343,1,1343.0,1903,1,1903.0,25.0,1.0,25.0
Thomson Reuters,126500,38,3328.9473684210525,36188,38,952.3157894736842,237526,38,6250.684210526316,8270.0,38.0,217.6315789473684
Time Magazine,326929,14,23352.071428571428,31898,14,2278.4285714285716,347410,14,24815.0,7457.0,14.0,532.6428571428571
Time Warner Cable,11404,3,3801.3333333333335,5230,3,1743.3333333333333,25677,3,8559.0,635.0,3.0,211.66666666666666
Times of London,2304,1,2304.0,2021,1,2021.0,5758,1,5758.0,475.0,1.0,475.0
To The Contrary (Persephone Productions),6028,4,1507.0,3415,4,853.75,20155,4,5038.75,295.0,4.0,73.75
Toronto Star,165056,1,165056.0,734,1,734.0,68033,1,68033.0,1695.0,1.0,1695.0
TownHall,757,1,757.0,530,1,530.0,954,1,954.0,43.0,1.0,43.0
Townhall,414540,6,69090.0,8326,6,1387.6666666666667,266278,6,44379.666666666664,4474.0,6.0,745.6666666666666
Transport Topics,2196,1,2196.0,630,1,630.0,29664,1,29664.0,785.0,1.0,785.0
Trinity Broadcast Network,10281,1,10281.0,337,1,337.0,6306,1,6306.0,223.0,1.0,223.0
U.S. News & World Report,49703,11,4518.454545454545,29531,11,2684.6363636363635,145229,11,13202.636363636364,7316.0,11.0,665.0909090909091
UCG,4550,1,4550.0,1652,1,1652.0,36270,1,36270.0,2043.0,1.0,2043.0
USA Today,205698,29,7093.0344827586205,36422,29,1255.9310344827586,266924,29,9204.275862068966,9405.0,29.0,324.3103448275862
Univision,1536,2,768.0,2490,2,1245.0,3648,2,1824.0,88.0,2.0,44.0
Vanity Fair,5806,1,5806.0,62,1,62.0,744,1,744.0,5.0,1.0,5.0
Variety,10113,1,10113.0,1705,1,1705.0,28887,1,28887.0,571.0,1.0,571.0
Vice News,83493,7,11927.57142857143,19486,7,2783.714285714286,91141,7,13020.142857142857,1511.0,7.0,215.85714285714286
Voice of America,357534,59,6059.8983050847455,136442,59,2312.576271186441,277137,59,4697.237288135593,7794.0,59.0,132.10169491525423
Voterama in Congress,583,1,583.0,298,1,298.0,105,1,105.0,2.0,1.0,2.0
Vox ,907,1,907.0,398,1,398.0,1892,1,1892.0,2.0,1.0,2.0
Vox Media,91982,2,45991.0,2908,2,1454.0,29162,2,14581.0,723.0,2.0,361.5
WBAL-TV,4702,1,4702.0,1537,1,1537.0,9924,1,9924.0,283.0,1.0,283.0
WBALL TV 11,259,1,259.0,170,1,170.0,903,1,903.0,0.0,1.0,0.0
WFDC–TV Univision,175676,8,21959.5,6738,8,842.25,54261,8,6782.625,1255.0,8.0,156.875
WJLA–TV / Newschannel 8,91097,44,2070.3863636363635,30646,44,696.5,216545,44,4921.477272727273,6459.0,44.0,146.79545454545453
WMAL Radio,2992,3,997.3333333333334,5376,3,1792.0,20141,3,6713.666666666667,703.0,3.0,234.33333333333334
WMDT,627,1,627.0,1361,1,1361.0,3308,1,3308.0,267.0,1.0,267.0
WNEW / CBS DC,14553,15,970.2,17158,15,1143.8666666666666,107792,15,7186.133333333333,1002.0,15.0,66.8
WNYC,16270,1,16270.0,1895,1,1895.0,34728,1,34728.0,722.0,1.0,722.0
WPFW–FM,468,1,468.0,232,1,232.0,45438,1,45438.0,8856.0,1.0,8856.0
WRC–TV / NBC–4,349227,53,6589.188679245283,128508,53,2424.6792452830186,405821,53,7657.0,8068.0,53.0,152.22641509433961
WTOP,1067,1,1067.0,526,1,526.0,2125,1,2125.0,4.0,1.0,4.0
WTOP Radio,52271,24,2177.9583333333335,40249,24,1677.0416666666667,188828,24,7867.833333333333,2874.0,24.0,119.75
WTTG-TV,351,1,351.0,1237,1,1237.0,3077,1,3077.0,362.0,1.0,362.0
WTTG–Fox Television,155278,30,5175.933333333333,33470,30,1115.6666666666667,242624,30,8087.466666666666,5055.0,30.0,168.5
WUSA–TV,173257,46,3766.4565217391305,76275,46,1658.1521739130435,339062,46,7370.913043478261,8517.0,46.0,185.15217391304347
Wall Street Journal,37183,6,6197.166666666667,3196,6,532.6666666666666,24372,6,4062.0,449.0,6.0,74.83333333333333
Wall Street Journal / Dow Jones,356141,41,8686.365853658537,45154,41,1101.3170731707316,364182,41,8882.487804878048,9053.0,41.0,220.8048780487805
Washington Blade,11339,2,5669.5,3094,2,1547.0,40584,2,20292.0,704.0,2.0,352.0
Washington Bureau News Service,3601,1,3601.0,516,1,516.0,211,1,211.0,28.0,1.0,28.0
Washington Business Journal,3531,2,1765.5,1732,2,866.0,12709,2,6354.5,24.0,2.0,12.0
Washington City Paper,725,1,725.0,1079,1,1079.0,2446,1,2446.0,22.0,1.0,22.0
Washington Examiner,434975,20,21748.75,29392,20,1469.6,388905,20,19445.25,9201.0,20.0,460.05
Washington Free Beacon,2100,1,2100.0,556,1,556.0,907,1,907.0,5.0,1.0,5.0
Washington Post,2151582,60,35859.7,109516,60,1825.2666666666667,828772,60,13812.866666666667,22621.0,60.0,377.01666666666665
Washington Radio & Press Service,1,1,1.0,27,1,27.0,8,1,8.0,0.0,1.0,0.0
Washington Times,17335,10,1733.5,8939,10,893.9,36229,10,3622.9,905.0,10.0,90.5
Washingtonian,13334,6,2222.3333333333335,5684,6,947.3333333333334,67419,6,11236.5,1230.0,6.0,205.0
Washingtonpost.com,17715,12,1476.25,14575,12,1214.5833333333333,71840,12,5986.666666666667,2992.0,12.0,249.33333333333334
Weekly Standard,130142,6,21690.333333333332,18509,6,3084.8333333333335,175352,6,29225.333333333332,4812.0,6.0,802.0
West Wing Writers,487,1,487.0,406,1,406.0,738,1,738.0,0.0,1.0,0.0
Westwood One,1445,1,1445.0,72,1,72.0,18593,1,18593.0,521.0,1.0,521.0
White House Dossier,14215,1,14215.0,7441,1,7441.0,12092,1,12092.0,173.0,1.0,173.0
Wired,13121,1,13121.0,3555,1,3555.0,9334,1,9334.0,1048.0,1.0,1048.0
Wisconsin NewsHour,997,1,997.0,848,1,848.0,1368,1,1368.0,0.0,1.0,0.0
World Magazine,4532,3,1510.6666666666667,3433,3,1144.3333333333333,28691,3,9563.666666666666,296.0,3.0,98.66666666666667
Yahoo News,43080,1,43080.0,2313,1,2313.0,93714,1,93714.0,1812.0,1.0,1812.0
ZDNet,2839,1,2839.0,1242,1,1242.0,2187,1,2187.0,25.0,1.0,25.0
