pdoocy,11
JohnJHarwood,11
phuffdaddy,11
RebeccaShabad,11
NolanDMcCaskill,11
cflav,11
ec_schneider,11
ShoChandra,11
DaveBoyer,11
sarahcwestwood,11
DavidChalian,11
HeidiPrzybyla,11
dandeluce,11
ElizLanders,11
gdebenedetti,11
JordynPhelps,11
brkend,11
bkamisar,11
VaughnHillyard,11
GeraldFSeib,10
RebeccaBeitsch,10
TonyPerkinsFOX5,10
AdamTuss,10
ChrisJansing,10
RameshPonnuru,10
joshrogin,10
toddzwillich,10
MikeGrunwald,10
KDooleyYoung,10
Zachary_Cohen,10
MKhan47,10
mmcauliff,10
Timothy_Cama,10
djusatoday,10
pamelalauren,10
johnmdonnelly,10
NiallStanage,10
RodKuckro,10
RobTricchinelli,10
MorningBriefing,10
ArielWittenberg,10
MPhillipsWSJ,10
RyanMcCrimmon,10
josephlawler,10
Cory_Bennett,10
elwasson,10
MarthaRaddatz,10
alex_mallin,10
NinaTotenberg,10
AlexPappas,10
KateBennett_DC,10
AlanLevin1,10
georgecondon,10
AlexNBCNews,10
hbottemiller,10
SusanJCornwell,10
singernews,9
JohnHendel,9
Frank_Konkel,9
eunyangnbc,9
Philip_Elliott,9
ErinMcPike,9
DavidFerris,9
KFaulders,9
ArthurDelaneyHP,9
David_Pittman,9
lindsemcpherson,9
MaraLiasson,9
KimberlyRobinsn,9
darcyspencer,9
brianbeutler,9
skinnerliz,9
SweeneyABC,9
shomaristone,9
APAndrewTaylor,9
JFKucinich,9
AllMattNYT,9
JustinFishelABC,9
AndreaArenas1,9
lbarronlopez,9
JNSmall,9
jackgillum,9
SeanatGreenwire,9
kevcirilli,9
PoliticsReid,9
richardjwolf,9
kackleyZ,8
jasonjdick,8
PaulaReidCBS,8
danielryntjes,8
asfram,8
cherylbolen,8
JonEasley,8
glubold,8
theodoricmeyer,8
fran_chambers,8
eyokley,8
ceboudreau,8
squinton_states,8
ha_nah_nah,8
leslifoster,8
michaelscherer,8
KateDavidson,8
alvittorio,8
JBergal,8
JenGriffinFNC,8
abuddy,8
