Attribute,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,
LONGITUDE,5.75%,0.81%,0.30%,1.01%,0.40%,0%,0%,0%,0%,0.10%,
LATITUDE,0.81%,2.62%,10.49%,75.88%,6.66%,1.92%,0%,0%,0%,0.10%,
