Attribute,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,
TWEET_COUNT,98.24%,1.13%,0.42%,0.17%,0%,0%,0%,0%,0%,0.04%,
NUMBER_FOLLOWERS,98.95%,0.50%,0.13%,0.13%,0%,0.08%,0.13%,0%,0.04%,0.04%,
