Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
249996517,MikaylaBouchard,0,92,4.673e-06,26,0.003,7,5.762e-06,13,7.481e-04,1294377,0.094,0.283,0.009,21,0.002,3787,8.687e-06,29059936,4.668e-05,156134992,4.460e-04,3,3.996e-06,67,0.007,16,1.280e-04,0.003,8,0.002,4,0.003,7,230,1,1,1,
15051061,anobleDC,0,576,6.290e-06,35,8.403e-04,2,1.330e-06,3,2.043e-04,353490,0.020,0.061,0.006,15,0.001,2527,6.810e-06,22780576,1.865e-05,62371572,0,0,5.785e-06,97,0.003,8,1.536e-04,8.403e-04,2,0.005,12,0.007,17,1,1,1,1,
14766917,arelisrhdz,0,1125,4.223e-05,235,0.005,12,4.166e-05,94,0.008,13259860,0.070,0.209,0.026,63,0.003,5892,8.324e-05,278460672,1.335e-04,446492576,0.002,12,3.173e-05,532,0.011,26,4.828e-04,0.010,23,0.011,27,0.015,35,1,1,1,1,
20710655,njagoda,0,182,7.907e-06,44,0.003,8,1.374e-05,31,5.096e-04,881734,0.081,0.242,0.009,21,5.382e-04,1195,7.512e-06,25129154,3.016e-05,100872880,1.487e-04,1,7.633e-06,128,0.007,17,1.784e-04,0.004,9,0.006,14,0.004,9,231,1,1,1,
377016559,ErinVKelly,0,493,1.204e-05,67,0.003,7,1.950e-05,44,5.278e-04,913091,0.045,0.136,0.008,20,4.121e-04,915,5.357e-06,17918684,2.963e-05,99124544,7.433e-04,5,1.390e-05,233,0.005,13,2.250e-04,0.004,9,0.007,16,0.009,22,1,1,1,1,
183898020,SaraSorcher,0,319,2.013e-05,112,0.004,10,2.039e-05,46,0.001,1873063,0.117,0.351,0.013,31,0.003,6776,4.974e-05,166398976,4.907e-05,164143152,0.001,7,1.723e-05,289,0.009,22,2.874e-04,0.005,11,0.011,26,0.007,16,1,1,1,1,
485018010,PeterWSJ,0,339,1.510e-05,84,0.006,14,2.260e-05,51,0.003,5720084,0.083,0.248,0.029,70,0.003,6798,2.749e-05,91944288,7.029e-05,235122704,0.001,10,2.207e-05,370,0.015,35,6.462e-04,0.007,16,0.015,36,0.011,25,232,1,1,1,
21810329,sdonnan,1,11426,2.016e-04,1122,0.006,15,1.392e-04,314,0.013,22282856,0.033,0.098,0.026,61,0.006,13302,1.932e-04,646241920,1.101e-04,368451936,0.002,15,1.401e-04,2349,0.012,28,7.474e-04,0.013,31,0.023,54,0.059,140,1,1,1,1,
21231946,amayeda,0,699,2.049e-05,114,0.003,8,2.571e-05,58,0.001,2583298,0.054,0.163,0.009,21,0.002,5381,4.673e-05,156318912,6.714e-05,224595648,4.460e-04,3,1.837e-05,308,0.005,12,2.496e-04,0.006,14,0.003,8,0.011,26,1,1,1,1,
30977516,JasonCalvi,0,868,1.833e-05,102,0.003,6,1.241e-05,28,5.352e-04,926008,0.039,0.118,0.008,20,0.001,2724,7.906e-06,26446940,2.481e-05,82997456,1.487e-04,1,1.401e-05,235,0.004,9,4.285e-04,0.004,10,0.006,15,0.005,12,1,1,1,1,
