Attribute,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,
LONGITUDE,7.64%,0.95%,0.48%,1.19%,0.24%,0%,0%,0%,0%,0.24%,
LATITUDE,0.48%,1.43%,6.44%,80.43%,6.21%,4.30%,0%,0%,0%,0.24%,
