Attribute,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,
TWEET_COUNT,97.93%,1.34%,0.47%,0.13%,0.04%,0.04%,0%,0%,0%,0.04%,
NUMBER_FOLLOWERS,99.01%,0.52%,0.09%,0.09%,0%,0.17%,0.04%,0%,0.04%,0.04%,
