Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
316.0	111		delete	280664117		Agent		Agent			
621.0	200		delete	258885469		Agent		Agent			
2182.0	1350			769641584		Agent		Agent			
164.0	62		delete	162225194		Agent		Agent			
74.0	31		delete	258877940		Agent		Agent			
756.0	286		delete	65277959		Agent		Agent			
244.0	67		delete	16299754		Agent		Agent			
353.0	100		delete	218347440		Agent		Agent			
2263.0	1085			160547588		Agent		Agent			
6.0	3		delete	20634134		Agent		Agent			
5460.0	3761			23911915		Agent		Agent			
11411.0	3692		delete	2467791		Agent		Agent			
6.0	3		delete	16449615		Agent		Agent			
462.0	184		delete	120180668		Agent		Agent			
99.0	41		delete	19867003		Agent		Agent			
2068.0	1430			88750092		Agent		Agent			
1137.0	402		delete	21688902		Agent		Agent			
246.0	104		delete	2417586104		Agent		Agent			
3538.0	2064			27058591		Agent		Agent			
23038.0	14599			19576571		Agent		Agent			
6922.0	3654			70511174		Agent		Agent			
3212.0	1135		delete	14515799		Agent		Agent			
5463.0	1994			19107878		Agent		Agent			
46.0	13		delete	49586895		Agent		Agent			
127.0	65			227037531		Agent		Agent			
110.0	48			19932600		Agent		Agent			
857.0	297		delete	2347049341		Agent		Agent			
211.0	84		delete	30550346		Agent		Agent			
753.0	367			57072084		Agent		Agent			
150.0	74		delete	22536055		Agent		Agent			
2.0	1		delete	135367057		Agent		Agent			
2.0	1		delete	66185093		Agent		Agent			
2.0	1		delete	33508506		Agent		Agent			
219.0	108		delete	260907612		Agent		Agent			
86.0	43		delete	7212562		Agent		Agent			
2.0	1		delete	210981245		Agent		Agent			
4.0	2		delete	20460104		Agent		Agent			
20.0	9		delete	13192972		Agent		Agent			
2.0	1		delete	17549883		Agent		Agent			
6.0	3		delete	25166595		Agent		Agent			
981.0	501			123585060		Agent		Agent			
2.0	1		delete	3907126639		Agent		Agent			
6.0	3		delete	14996251		Agent		Agent			
12.0	6		delete	29852317		Agent		Agent			
206.0	76		delete	23618466		Agent		Agent			
4.0	2		delete	793531896470855680		Agent		Agent			
25.0	7		delete	2192324467		Agent		Agent			
4.0	1		delete	1883934601		Agent		Agent			
1016.0	438		delete	4970411		Agent		Agent			
251.0	68		delete	19988708		Agent		Agent			
5.0	1		delete	3499718354		Agent		Agent			
2.0	1		delete	253044272		Agent		Agent			
13.0	5		delete	15432119		Agent		Agent			
13577.0	8703			104914594		Agent		Agent			
158.0	78		delete	1444015610		Agent		Agent			
181.0	69		delete	1177437224		Agent		Agent			
452.0	221		delete	15207668		Agent		Agent			
2931.0	1079			14007532		Agent		Agent			
1782.0	619		delete	2167286587		Agent		Agent			
3027.0	1824			139738464		Agent		Agent			
7455.0	4582			17466186		Agent		Agent			
3294.0	1859			163995093		Agent		Agent			
629.0	269			297532865		Agent		Agent			
816.0	404		delete	15075999		Agent		Agent			
3770.0	1842			167024520		Agent		Agent			
2990.0	1038			23578274		Agent		Agent			
2809.0	1221		delete	15922214		Agent		Agent			
5729.0	2207			407013776		Agent		Agent			
11444.0	7144			46557945		Agent		Agent			
2012.0	1035			397478799		Agent		Agent			
6515.0	3495			39155029		Agent		Agent			
585.0	291		delete	2962994194		Agent		Agent			
8476.0	4772			19186003		Agent		Agent			
3527.0	2074			263473924		Agent		Agent			
4006.0	1482			22771961		Agent		Agent			
14.0	7		delete	342887079		Agent		Agent			
2130.0	1111			108617810		Agent		Agent			
1041.0	523			22772264		Agent		Agent			
1852.0	784			85131054		Agent		Agent			
8813.0	5143			16930125		Agent		Agent			
7075.0	3707			1132012321		Agent		Agent			
15.0	6		delete	372786339		Agent		Agent			
92.0	46		delete	15635604		Agent		Agent			
389.0	138		delete	1630896181		Agent		Agent			
927.0	282		delete	227837742		Agent		Agent			
119.0	40		delete	54320038		Agent		Agent			
3797.0	1654			227790723		Agent		Agent			
7606.0	2776		delete	3108351		Agent		Agent			
1377.0	483			360080772		Agent		Agent			
9.0	4		delete	2331120185		Agent		Agent			
34.0	17		delete	155954102		Agent		Agent			
8.0	4		delete	24404039		Agent		Agent			
3294.0	2534			135558864		Agent		Agent			
1652.0	862			82151660		Agent		Agent			
9741.0	5529			136550204		Agent		Agent			
428.0	236		delete	14275291		Agent		Agent			
10.0	5		delete	234014087		Agent		Agent			
1159.0	390		delete	293314112		Agent		Agent			
3298.0	1403			59603406		Agent		Agent			
6.0	2		delete	165128880		Agent		Agent			
56.0	24		delete	130600206		Agent		Agent			
6193.0	2792			19847765		Agent		Agent			
2365.0	846		delete	20508720		Agent		Agent			
1271.0	404		delete	15742985		Agent		Agent			
22115.0	12247			14529929		Agent		Agent			
494.0	247		delete	10228272		Agent		Agent			
136.0	63		delete	109639153		Agent		Agent			
389.0	181			36764306		Agent		Agent			
298.0	144			195550861		Agent		Agent			
152.0	66		delete	21348368		Agent		Agent			
5.0	1		delete	448256178		Agent		Agent			
68.0	27		delete	46715437		Agent		Agent			
1133.0	397		delete	150078976		Agent		Agent			
1149.0	478		delete	1548489476		Agent		Agent			
177.0	54		delete	2259809232		Agent		Agent			
89.0	26		delete	15327996		Agent		Agent			
19.0	9		delete	37377034		Agent		Agent			
20.0	9		delete	19355829		Agent		Agent			
6290.0	4702			25112718		Agent		Agent			
1785.0	1245			24844300		Agent		Agent			
12.0	6		delete	221135570		Agent		Agent			
102.0	50		delete	704320143824953344		Agent		Agent			
365.0	170			384335594		Agent		Agent			
2468.0	1324			48038024		Agent		Agent			
18.0	9		delete	52774637		Agent		Agent			
5574.0	1762		delete	28785486		Agent		Agent			
1102.0	378		delete	8953122		Agent		Agent			
147.0	58		delete	56223278		Agent		Agent			
3309.0	2860			65962672		Agent		Agent			
4744.0	3329		delete	17919393		Agent		Agent			
6965.0	5003		delete	15675138		Agent		Agent			
10.0	3		delete	335534204		Agent		Agent			
34.0	7		delete	25067168		Agent		Agent			
8799.0	5787			63717541		Agent		Agent			
414.0	168		delete	727472528		Agent		Agent			
49.0	24		delete	17956900		Agent		Agent			
28.0	14		delete	56256786		Agent		Agent			
302.0	114		delete	35247675		Agent		Agent			
137.0	61		delete	155214257		Agent		Agent			
10.0	5		delete	1285863655		Agent		Agent			
134.0	39		delete	474464413		Agent		Agent			
55.0	21		delete	42259293		Agent		Agent			
7.0	3		delete	825372940975878146		Agent		Agent			
361.0	119		delete	592730371		Agent		Agent			
57.0	29		delete	230859523		Agent		Agent			
11.0	3		delete	1587217921		Agent		Agent			
16.0	5		delete	45807334		Agent		Agent			
69.0	33		delete	53082044		Agent		Agent			
2.0	1		delete	73714732		Agent		Agent			
2.0	1		delete	493835191		Agent		Agent			
2.0	1		delete	133837558		Agent		Agent			
2776.0	1454			48459553		Agent		Agent			
7.0	2		delete	500340487		Agent		Agent			
2.0	1		delete	847152226808348681		Agent		Agent			
12.0	6		delete	1209603074		Agent		Agent			
7.0	2		delete	323995477		Agent		Agent			
19.0	7		delete	34082620		Agent		Agent			
29.0	14		delete	104850722		Agent		Agent			
867.0	355		delete	7744592		Agent		Agent			
18.0	5		delete	1453418317		Agent		Agent			
11.0	4		delete	23317891		Agent		Agent			
