"michaelmathes","18179659","Mathes, Michael","Agence France-Presse","Politics & Congress Correspondent","M","2690","1864","12642","Wed Dec 17 02:15:17 +0000 2008","True","False"
"davidmillikin","7957852","Millikin, David","Agence France-Presse","Director for North America","M","1442","672","856","Sat Aug 04 17:31:10 +0000 2007","True","False"
"ramsahmkow","49553300","Sahmkow, Ramon","Agence France-Presse","Latin America Reporter","M","799","861","3105","Mon Jun 22 06:06:42 +0000 2009","False","False"
"jeanlouissantin","809597690","Santini, Jean-Louis","Agence France-Presse","Correspondent","M","365","61","733","Fri Sep 07 21:02:52 +0000 2012","False","False"
"pstebbings","252327064","Stebbings, Peter","Agence France-Presse","Sports Editor/Writer","M","562","318","1972","Mon Feb 14 23:48:30 +0000 2011","False","False"
"thomaswatkins","23034870","Watkins, Thomas","Agence France-Presse","Pentagon Correspondent","M","2217","1400","1947","Fri Mar 06 05:26:50 +0000 2009","True","False"
"michaelcoleman","20384533","Coleman, Michael","Albuquerque Journal","Washington Correspondent","M","2862","1815","12266","Sun Feb 08 18:58:54 +0000 2009","False","False"
"lauraolson","15756288","Olson, Laura","Allentown Morning Call","DC Correspondent","F","5224","2084","10390","Wed Aug 06 22:42:26 +0000 2008","True","False"
"johnheltman","594638044","Heltman, John","American Banker","Fed/FSOC Reporter","M","967","769","2534","Wed May 30 14:26:26 +0000 2012","True","False"
"ianmckendry13","224711189","McKendry, Ian","American Banker","Reporter","M","597","627","1406","Thu Dec 09 17:41:09 +0000 2010","False","False"
"elizarules","23768237","Carney, Eliza","American Prospect","Senior Editor","F","2806","1723","3591","Wed Mar 11 14:17:42 +0000 2009","False","False"
"mirrorballdc","96391851","Ball, Michael","Argus Media","Editor, Argus Air Daily","M","319","967","16676","Sat Dec 12 18:23:31 +0000 2009","False","False"
"haik_gugarats","119179453","Gugarats, Haik","Argus Media","Global Energy Politics Reporter","M","320","1243","909","Tue Mar 02 22:23:38 +0000 2010","False","False"
"chrispknight","39254779","Knight, Chris","Argus Media","Energy Policy Reporter","M","673","472","1124","Mon May 11 13:53:57 +0000 2009","False","False"
"snyd24","173919208","Snyder, Jim","Argus Media","News Editor","M","1134","872","971","Mon Aug 02 17:49:18 +0000 2010","False","False"
"lbaldor","109377487","Baldor, Lolita","Associated Press","National Security/Pentagon Reporter ","F","4968","119","506","Thu Jan 28 21:25:10 +0000 2010","True","False"
"wbenjaminson","22053966","Benjaminson, Wendy","Associated Press","Acting Washington Bureau Chief","F","2238","539","1618","Thu Feb 26 20:05:02 +0000 2009","True","False"
"bykowicz","37721714","Bykowicz, Julie","Associated Press","White House Reporter","F","11542","996","13550","Mon May 04 18:33:35 +0000 2009","True","False"
"acaldwellap","78693573","Caldwell, Alicia","Associated Press","Immigration Reporter","F","3791","874","16320","Wed Sep 30 19:56:45 +0000 2009","True","False"
"donnacassataap","614542142","Cassata, Donna","Associated Press","Congressional News Editor","F","3471","3006","14528","Thu Jun 21 20:17:03 +0000 2012","False","False"
"mcrutsinger","253676995","Crutsinger, Martin","Associated Press","Reporter","F","374","100","9","Thu Feb 17 18:56:29 +0000 2011","False","False"
