Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all_filtered,attribute-Tweets-Sent-Count-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered-unscaled,kcore-1-Twitter JSON all_filtered,kcore-1-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-1-Twitter JSON all_filtered,totalDegreeCentrality-1-Twitter JSON all_filtered-unscaled,twitter-actualInfluencer-1-Twitter JSON all_filtered,twitter-actualInfluencer-1-Twitter JSON all_filtered-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered-unscaled,twitter-mostMentioned-1-Twitter JSON all_filtered,twitter-mostMentioned-1-Twitter JSON all_filtered-unscaled,twitter-numberOfFollowers-1-Twitter JSON all_filtered,twitter-numberOfFollowers-1-Twitter JSON all_filtered-unscaled,twitter-potentialConnectors-1-Twitter JSON all_filtered,twitter-potentialConnectors-1-Twitter JSON all_filtered-unscaled,twitter-potentialReach-1-Twitter JSON all_filtered,twitter-potentialReach-1-Twitter JSON all_filtered-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all_filtered,twitter-totalMentionsDegree-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all_filtered,twitter-totalMentionsKcore-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered-unscaled,twitter-trustedSource-1-Twitter JSON all_filtered,twitter-trustedSource-1-Twitter JSON all_filtered-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered-unscaled,weakComponentMembers-5-Twitter JSON all_filtered,weakComponentMembers-3-Twitter JSON all_filtered,weakComponentMembers-4-Twitter JSON all_filtered,weakComponentMembers-2-Twitter JSON all_filtered,
451231386,MeaganNBCDC,0,177,4.492e-05,44,0.002,5,3.191e-05,33,0.002,992284,0.090,0.249,0.010,23,0.002,5221,4.681e-05,29816052,1.103e-04,70264584,0.010,4,6.242e-05,138,0.003,7,8.804e-04,0.004,9,0.008,19,0.002,4,2,1,3,2,
15219854,OhMyGOFF,0,547,4.492e-05,44,0.002,5,1.741e-05,18,0.002,676251,0.029,0.080,0.009,20,0.026,57233,1.010e-04,64357796,6.009e-05,38274876,0.005,2,4.387e-05,97,0.003,7,3.926e-04,0.004,9,0.003,7,0.002,4,2,1,3,2,
252681042,JimHandly,0,134,1.940e-05,19,8.722e-04,2,2.901e-06,3,4.279e-04,170370,0.052,0.142,0.004,10,0.007,14818,6.247e-05,39791340,3.351e-05,21342572,0,0,2.623e-05,58,0.003,6,2.123e-04,8.722e-04,2,0.002,5,0.004,10,2,1,3,2,
57656702,Bruce_DePuyt,0,99,1.021e-05,10,4.361e-04,1,1.934e-06,2,2.717e-04,108174,0.037,0.101,0.003,7,0.002,5276,7.217e-06,4597126,3.838e-05,24447216,0,0,1.312e-05,29,0.002,4,2.607e-04,4.361e-04,1,0.002,5,0.002,5,394,1,3,2,
77832056,cmartinez400,0,69,1.531e-05,15,4.361e-04,1,0,1,4.120e-05,16404,0.079,0.217,4.361e-04,1,5.139e-04,1139,9.814e-06,6251444.500,1.669e-05,10630410,0,0,1.086e-05,24,4.361e-04,1,8.897e-05,4.361e-04,1,0,0,0.002,5,2,1,3,2,
211875645,DickUliano,0,35,5.104e-06,5,8.722e-04,2,1.934e-06,2,6.621e-05,26363,0.052,0.143,0.001,3,5.604e-04,1242,5.687e-06,3622413.750,1.587e-05,10109175,0,0,3.618e-06,8,8.722e-04,2,9.033e-05,8.722e-04,2,0,0,0,0,2,1,3,110,
32878795,RonnieMcCrayJr,0,54,4.084e-06,4,4.361e-04,1,1.934e-06,2,2.032e-05,8091,0.027,0.074,8.722e-04,2,2.576e-04,571,0,266727.938,0,142775.844,0,0,9.498e-06,21,8.722e-04,2,1.485e-04,4.361e-04,1,0,0,4.361e-04,1,395,1,3,2,
380355731,ricknbc,0,353,9.596e-05,94,0.002,5,7.059e-05,73,0.002,766312,0.097,0.266,0.005,11,9.538e-04,2114,7.395e-05,47108028,1.469e-04,93580520,0.005,2,1.140e-04,252,0.003,6,7.073e-04,0.003,7,0.003,8,0.006,14,2,1,3,2,
336076781,JJGreenWTOP,0,41,0,0,0,0,0,0,4.167e-05,16591,0,0,8.722e-04,2,0.001,2636,0,0,9.867e-06,6285233.500,0,0,1.357e-06,3,4.361e-04,1,1.071e-04,0,0,4.361e-04,1,0,0,2,1,232,2,
562929500,MelanieNews8,0,286,1.429e-05,14,8.722e-04,2,5.802e-06,6,8.810e-05,35079,0.018,0.049,0.001,3,9.462e-04,2097,3.766e-06,2398959,1.688e-05,10754478,0,0,1.086e-05,24,8.722e-04,2,3.593e-04,8.722e-04,2,4.361e-04,1,4.361e-04,1,2,1,3,2,
257069028,MeganMcGrath4,0,8,0,0,0,0,0,0,1.214e-04,48334,0,0,0.003,6,0.002,4828,0,0,1.806e-05,11502174,0,0,4.071e-06,9,0.002,5,1.584e-04,0,0,8.722e-04,2,0,0,396,1,233,2,
322830431,JulieCareyNBC,0,212,1.736e-05,17,8.722e-04,2,1.257e-05,13,0.001,480620,0.029,0.080,0.008,19,0.004,9356,4.665e-05,29716124,6.263e-05,39891912,0,0,4.161e-05,92,0.003,7,5.423e-04,8.722e-04,2,0.007,15,0.002,5,2,1,3,2,
1954509632,nelsonjwttg5,0,58,5.104e-06,5,0,0,0,0,1.341e-06,534,0.031,0.086,0,0,2.409e-04,534,0,106140.305,0,0,0,0,3.166e-06,7,0,0,8.143e-05,0,0,0,0,8.722e-04,2,397,1,234,2,
260275260,melissamollet,0,86,2.961e-05,29,0.002,5,2.031e-05,21,0.001,549479,0.123,0.337,0.006,13,0.003,7394,3.661e-05,23320836,4.725e-05,30094692,0.005,2,3.618e-05,80,0.003,6,6.666e-04,0.002,5,0.002,5,8.722e-04,2,2,1,3,2,
16034316,ClohertyWTOP,0,200,3.573e-05,35,8.722e-04,2,2.611e-05,27,7.328e-04,291752,0.064,0.175,0.004,10,0.001,2318,1.436e-05,9144646,2.662e-05,16955406,0,0,5.744e-05,127,0.002,4,5.533e-04,0.003,6,0.003,7,0.004,10,2,1,3,2,
18742338,mbaschWTOP,0,167,2.858e-05,28,4.361e-04,1,9.670e-06,10,2.392e-04,95248,0.061,0.168,0.002,4,0.003,7102,7.288e-06,4642175,7.621e-06,4854634.500,0,0,3.935e-05,87,8.722e-04,2,2.359e-04,4.361e-04,1,0.002,4,0.003,6,2,1,3,2,
21965274,rnania,0,48,1.327e-05,13,4.361e-04,1,4.835e-06,5,7.091e-05,28233,0.098,0.271,0.001,3,7.016e-04,1555,0,212434.984,9.186e-06,5851269,0,0,8.594e-06,19,8.722e-04,2,2.866e-04,4.361e-04,1,0,0,0,0,2,1,3,111,
2324092602,P_H_Leahigh,0,58,1.327e-05,13,0,0,0,0,1.248e-06,497,0.082,0.224,0,0,2.242e-04,497,4.081e-06,2599260.250,0,0,0,0,1.040e-05,23,0,0,8.143e-05,0,0,0,0,0.003,6,2,1,235,2,
265969984,DerrickWard4,0,7,8.167e-06,8,0.001,3,2.901e-06,3,1.627e-04,64795,0.416,1.143,0.003,6,0.002,3464,0,420893.125,3.896e-05,24820050,0.002,1,7.689e-06,17,0.001,3,1.399e-04,0.001,3,0.001,3,0,0,398,1,3,2,
233933608,eunyangnbc,0,255,5.819e-05,57,0.002,5,3.771e-05,39,0.005,1887784,0.081,0.224,0.011,26,0.010,22995,9.177e-05,58456048,6.649e-05,42352364,0.014,6,1.027e-04,227,0.003,7,0.001,0.005,12,0.004,9,0.002,4,2,1,3,2,
19145536,SimmonsFox5,0,79,8.167e-06,8,8.722e-04,2,2.901e-06,3,3.832e-04,152587,0.037,0.101,0.003,8,0.005,12189,1.584e-05,10090606,2.743e-05,17470734,0,0,1.266e-05,28,0.002,4,1.754e-04,8.722e-04,2,0,0,0.001,3,2,1,3,2,
2864876597,chashenrynews,0,142,3.573e-05,35,4.361e-04,1,1.934e-06,2,1.098e-05,4370,0.090,0.246,8.722e-04,2,1.561e-04,346,9.797e-06,6240453,2.032e-06,1294126.750,0,0,2.714e-05,60,4.361e-04,1,1.020e-04,4.361e-04,1,4.361e-04,1,0.007,16,2,1,3,2,
