Attribute,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,
LONGITUDE,0%,1.17%,1.17%,0.39%,0.39%,1.95%,0%,0%,0%,0.39%,
LATITUDE,0.39%,0.39%,1.17%,1.56%,4.30%,7.03%,7.81%,9.77%,58.20%,7.42%,
