marcy_crane,2345626885
loren_duggan,780221130
akesslerdc,285772181
adamliptak,29607664
amacker,9484732
marisa_schultz,221153484
AlexPappas,20957491
ahmannt,245988118
allisoncwatkins,14515725
leobruneau,29442455
marisaataylor,1620806917
AlxThomp,370982639
kytja,221493459
luisalonsolugo,62639813
MarkLandler,120233868
marcygordon,18666314
KevinEckstrom,380369123
AlanLevin1,394689241
Lnewswashington,1374773466
MarkWeinerDC,567865993
AlexClearfield,3739469775
lmarkoe,339177761
LightmanDavid,388456346
LNeergaard,431835561
ACapaccio,301628954
Allison_Good1,24398702
kayrwebb,594171971
KThomasDC,15463486
marcgeorges,73046281
katyridel,124175271
llerer,12670512
lawrencehurley,29771100
d_miedema,19815666
cphenicie,19250369
Brendan_McGarry,1322522821
Autumnsan1,442319975
arelisrhdz,14766917
BenLeubsdorf,28332786
borenbears,39800314
AngieHolan,14091197
CHueyBurns,153181367
BrianCo05937716,1904922536
carolyncerbin,106855680
AshleyRParker,33919343
AndrewBeatty,27058591
ChrisWrightDC,386002603
BrettZongker,20217658
CWetzWashTms,1444627322
BillMcConnellIV,287710661
aviswanatha,15529730
annaedney,57124794
danielnasaw,35754345
BloombergHughes,180880414
APAndrewTaylor,245412130
ASimendinger,55394190
DanielPMalloy,65091778
darrensands,18810140
damclaugh,921812414
daveweigel,13524182
b_muzz,399225358
BondBuyergirl,166226535
CleanEDaily,46164392
CraigMehall,2973919517
AnjelicaTan,168766258
byaaroncdavis,19351485
AnjaliShastry,2357598091
davidamichaels,15887713
barneyjopson,369746299
BSullivanNewsDC,386023382
benweyl,58683409
bobdavis187,232437461
becca_milfeld,18834692
coatschristophe,255683862
danbalz,59676104
bykowicz,37721714
ByChrisYoung,608332963
craasch,5931862
DanielAHart2,399344138
damianpaletta,115718513
bsternbe,360846426
b_fung,18580432
cschwed,108362947
ChristieCarr,17878960
caschaberg,1565684575
AnneRenaut,402155622
AnnieLinskey,37965812
braiesene,366620845
cleabenson,9660752
anobleDC,15051061
APLaurieKellman,96781334
ByronYork,47739450
ClarkHoyt,119896711
bennettroth,209262282
chrisgeidner,22891564
BerylAdcock,479146840
CLGrossman,55638250
arappeport,14480378
bklapperAP,154233179
annekimdc,749375898
chuckabbott1,195840785
BryantJordan,57657732
ayesharascoe,100802089
characarter,570169435
DannyDougherty,6325812
CaroleFeldman,28585396
AnneKFlaherty,20601037
CheyHopkins,121469977
AP_Joan_Lowy,16636428
betsyscribeindc,95072551
dalykyle,248088312
bradheath,14362404
bwingfield,23642217
ashuppy,345158526
ByErikBrady,104854108
BCAppelbaum,87271106
bbarrettNC,132986633
cdoering,241165319
ByronTau,16125224
CoralMDavenport,48075643
chantalvalery,245415463
aterkel,15727317
breakfastguy,15564173
CarlPLeubsdorf,1256732358
DaveBoyer,22022769
APkfreking,257091348
BobDrogin,36388506
chrisjcondon,330565637
CarlosTorresECO,472233758
DavidGSavage,108474241
ArthurDelaneyHP,24196684
ColleenMNelson,29244617
cflav,242893326
AxiosNick,329809276
blambrecht,15938122
cehoskinson,506033683
briandabbs,93082722
davelawder,4322869372
brkend,844158102
ByBerkowitz,831314911
connorobrienNH,190360266
ChloeWhiteaker,948430884
CarterD,19902826
ColbyItkowitz,103927659
byPeterEisler,820267986
