GOP,11134252
freedomcaucus,2990729241
dccc,14676022
NRCC,5496932
TheDemocrats,14377605
NRSC,5693842
club4growth,14410652
CPAC,120295432
prioritiesUSA,289963138
dscc,14466538
emilyslist,63262233
Heritage_Action,130600206
DNC,722793491059769344
GOPconvention,110924703
NatlGovsAssoc,393615360
CLFSuperPAC,625546219
HouseMajPAC,285578853
EnergyGOP,82657929
DemConvention,8370082
SenateGOP,14344823
The_RGA,21878458
DemGovs,38477209
RepublicanStudy,22528309
LogCabinGOP,36588739
MajorityPAC,322691272
